option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
AX,200,"01, 21, 31, 41",151,134,117,103,89,75,2022,mj
AY,200,"01, 22, 32, 42",151,134,117,103,89,75,2022,mj
AZ,200,"01, 23, 33, 43",151,134,117,103,89,75,2022,mj
P1,150,50,120,102,84,66,48,30,2022,mj
AX,200,"01, 21, 31, 41",157,138,119,105,91,77,2023,mj
AY,200,"01, 22, 32, 42",157,138,119,105,91,77,2023,mj
AZ,200,"01, 23, 33, 43",157,138,119,105,91,77,2023,mj
AX,200,"01, 21, 31, 41",156,137,118,104,90,76,2024,mj
AY,200,"01, 22, 32, 42",156,137,118,104,90,76,2024,mj
AZ,200,"01, 23, 33, 43",156,137,118,104,90,76,2024,mj
AY,200,"01, 22, 32, 42",153,137,121,107,93,79,2022,on
AZ,200,"01, 23, 33, 43",149,133,117,103,89,75,2022,on
AY,200,"01, 22, 32, 42",159,141,123,109,95,81,2023,on
AZ,200,"01, 23, 33, 43",159,141,123,109,95,81,2023,on
