option,maximum mark after weighting,combination of components,a,b,c,d,e,year,month
AX,160,"11, 21",102,90,80,70,60,2022,mj
AY,160,"12, 22",100,87,77,67,57,2022,mj
AZ,160,"13, 23",100,87,77,67,57,2022,mj
AX,160,"11, 21",104,90,80,70,60,2023,mj
AY,160,"12, 22",103,88,78,68,58,2023,mj
AZ,160,"13, 23",103,88,78,68,58,2023,mj
AX,160,"11, 21",106,92,81,71,61,2024,mj
AY,160,"12, 22",108,94,83,72,62,2024,mj
AZ,160,"13, 23",108,94,83,72,62,2024,mj
AX,160,"11, 21",110,98,89,80,71,2025,mj
AY,160,"12, 22",107,93,82,72,62,2025,mj
AZ,160,"13, 23",107,93,82,72,62,2025,mj
AX,160,"11, 21",99,87,77,67,57,2022,on
AY,160,"12, 22",101,88,78,69,60,2022,on
AZ,160,"13, 23",99,87,77,67,57,2022,on
AX,160,"11, 21",101,86,77,68,60,2023,on
AY,160,"12, 22",101,86,77,68,60,2023,on
AZ,160,"13, 23",101,86,77,68,60,2023,on
AX,160,"11, 21",100,84,75,66,57,2024,on
AY,160,"12, 22",100,84,75,66,57,2024,on
AZ,160,"13, 23",100,84,75,66,57,2024,on
AX,160,"11, 21",101,85,76,67,58,2025,on
AY,160,"12, 22",101,85,76,67,58,2025,on
AZ,160,"13, 23",101,85,76,67,58,2025,on
