option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
AY (AY),200,"22, 32, 42, 52",149,133,117,101,86,71,2022,mj
AY (AY1),200,"22, 32, 42, 52",159,142,125,109,93,78,2023,mj
AY (AY1),200,"22, 32, 42, 52",158,141,124,108,92,77,2024,mj
AY,200,"22, 32, 42, 52",161,144,127,111,95,80,2025,mj
AX,200,"21, 31, 41, 51",154,138,122,106,90,75,2022,on
AY,200,"22, 32, 42, 52",154,138,122,106,90,75,2022,on
AX,200,"21, 31, 41, 51",159,143,127,111,95,80,2023,on
AY,200,"22, 32, 42, 52",157,141,125,109,93,78,2023,on
AY,200,"22, 32, 42, 52",157,141,125,109,93,78,2024,on
AY,200,"22, 32, 42, 52",157,141,125,109,93,78,2025,on
