option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
AX,250,"11, 21, 31, 41",205,177,149,124,99,75,2023,on
AY,250,"12, 22, 32, 42",219,189,159,136,113,90,2023,on
AZ,250,"13, 23, 33, 43",205,177,149,124,99,75,2023,on
BQ,250,"21, 41, 85",220,191,162,133,104,76,2023,on
BR,250,"22, 42, 86",222,195,166,139,112,85,2023,on
BY,250,"22, 42, 85",224,199,170,143,116,89,2023,on
CQ,250,"21, 31, 88",215,187,159,132,105,79,2023,on
CR,250,"22, 32, 89",220,191,161,135,109,84,2023,on
CY,250,"22, 32, 88",222,195,165,139,113,88,2023,on
DX,250,"21, 41, 94",198,172,146,120,95,70,2023,on
DY,250,"22, 42, 95",206,180,154,130,106,83,2023,on
DZ,250,"23, 43, 96",198,172,146,120,95,70,2023,on
EX,250,"21, 31, 97",201,173,145,119,94,69,2023,on
EY,250,"22, 32, 98",211,181,151,126,102,78,2023,on
EZ,250,"23, 33, 99",201,173,145,119,94,69,2023,on
FY,250,"12, 22, 32, 42",219,189,159,136,113,90,2023,on
FZ,250,"13, 23, 33, 43",205,177,149,124,99,75,2023,on
HQ,250,"11, 21, 31, 41",205,177,149,124,99,75,2023,on
S1,125,"11, 31",–,77,61,52,43,34,2023,on
S2,125,"11, 41",–,88,74,61,48,36,2023,on
S3,125,"12, 32",–,81,63,54,45,36,2023,on
S4,125,"12, 42",–,92,78,66,54,42,2023,on
S5,125,"13, 33",–,77,61,52,43,34,2023,on
S6,125,"13, 43",–,88,74,61,48,36,2023,on
BQ,250,"21, 41, 85",213,183,153,127,102,77,2025,on
BR,250,"22, 42, 86",213,186,159,133,107,81,2025,on
BX,250,"21, 41, 84",213,183,153,127,102,77,2025,on
BY,250,"22, 42, 85",212,184,156,131,106,81,2025,on
CC,250,"24, 34, 63",222,195,163,137,111,85,2025,on
CQ,250,"21, 31, 88",209,177,145,120,95,71,2025,on
CR,250,"22, 32, 89",215,183,151,125,99,73,2025,on
CY,250,"22, 32, 88",209,177,145,120,95,71,2025,on
CZ,250,"23, 33, 89",215,183,151,125,99,73,2025,on
DN,250,"24, 44, 95",209,180,151,126,102,78,2025,on
DX,250,"21, 41, 94",208,178,148,123,98,74,2025,on
DY,250,"22, 42, 95",207,179,151,126,102,78,2025,on
EN,250,"24, 34, 98",209,181,153,128,104,80,2025,on
EX,250,"21, 31, 97",209,181,153,128,104,80,2025,on
EY,250,"22, 32, 98",209,181,153,128,104,80,2025,on
EZ,250,"23, 33, 99",209,181,153,128,104,80,2025,on
S1,125,"11, 31",–,74,56,46,37,28,2025,on
S2,125,"11, 41",–,87,70,58,46,34,2025,on
S3,125,"12, 32",–,70,53,43,34,25,2025,on
S4,125,"12, 42",–,84,70,58,46,35,2025,on
S5,125,"13, 33",–,74,56,46,37,28,2025,on
S6,125,"13, 43",–,87,70,58,46,34,2025,on
S7,125,"14, 34",–,74,56,46,37,28,2025,on
S8,125,"14, 44",–,89,73,61,49,38,2025,on
AX (AX1),250,"11, 21, 31, 41",216,182,140,117,94,71,2024,mj
AX (AX2),125,"11, 31",–,76,57,47,37,27,2024,mj
AX (AX3),125,"11, 41",–,94,73,59,46,33,2024,mj
AY (AY1),250,"12, 22, 32, 42",216,182,140,117,94,71,2024,mj
AY (AY2),125,"12, 32",–,76,57,47,37,27,2024,mj
AY (AY3),125,"12, 42",–,94,73,59,46,33,2024,mj
AZ (AZ1),250,"13, 23, 33, 43",220,191,147,123,99,76,2024,mj
AZ (AZ2),125,"13, 33",–,85,64,53,42,32,2024,mj
AZ (AZ3),125,"13, 43",–,94,73,59,46,33,2024,mj
BY,250,"22, 42, 85",223,197,157,131,105,79,2024,mj
BZ,250,"23, 43, 86",221,193,153,127,101,75,2024,mj
CY,250,"22, 32, 88",218,186,151,126,102,78,2024,mj
CZ,250,"23, 33, 89",220,191,154,129,104,79,2024,mj
DT,250,"22, 42, 94",216,183,144,122,100,78,2024,mj
DU,250,"23, 43, 95",218,187,146,124,102,80,2024,mj
DX,250,"21, 41, 94",216,183,144,122,100,78,2024,mj
DY,250,"22, 42, 95",218,187,146,124,102,80,2024,mj
ET,250,"22, 32, 97",211,176,141,118,96,74,2024,mj
EU,250,"23, 33, 98",219,189,152,129,107,85,2024,mj
EY,250,"22, 32, 98",215,180,145,123,101,80,2024,mj
FY (FY1),250,"12, 22, 32, 42",216,182,140,117,94,71,2024,mj
FY (FY2),250,"22, 42, 85",223,197,157,131,105,79,2024,mj
FY (FY3),250,"22, 32, 88",218,186,151,126,102,78,2024,mj
FY (FY4),250,"22, 42, 95",218,187,146,124,102,80,2024,mj
FY (FY5),250,"22, 32, 98",215,180,145,123,101,80,2024,mj
FY (FY6),125,"12, 32",–,76,57,47,37,27,2024,mj
FY (FY7),125,"12, 42",–,94,73,59,46,33,2024,mj
GT (GT1),250,"12, 22, 32, 42",216,182,140,117,94,71,2024,mj
GT (GT2),250,"22, 42, 85",223,197,157,131,105,79,2024,mj
GT (GT3),250,"22, 32, 88",218,186,151,126,102,78,2024,mj
GT (GT4),250,"22, 42, 94",216,183,144,122,100,78,2024,mj
GT (GT5),250,"22, 32, 97",211,176,141,118,96,74,2024,mj
GT (GT6),125,"12, 32",–,76,57,47,37,27,2024,mj
GT (GT7),125,"12, 42",–,94,73,59,46,33,2024,mj
GU (GU1),250,"13, 23, 33, 43",220,191,147,123,99,76,2024,mj
GU (GU2),250,"23, 43, 86",221,193,153,127,101,75,2024,mj
GU (GU3),250,"23, 33, 89",220,191,154,129,104,79,2024,mj
GU (GU4),250,"23, 43, 95",218,187,146,124,102,80,2024,mj
GU (GU5),250,"23, 33, 98",219,189,152,129,107,85,2024,mj
GU (GU6),125,"13, 33",–,85,64,53,42,32,2024,mj
GU (GU7),125,"13, 43",–,94,73,59,46,33,2024,mj
S1,125,"11, 31",–,76,57,47,37,27,2024,mj
S3,125,"12, 32",–,76,57,47,37,27,2024,mj
S4,125,"12, 42",–,94,73,59,46,33,2024,mj
S5,125,"13, 33",–,85,64,53,42,32,2024,mj
S6,125,"13, 43",–,94,73,59,46,33,2024,mj
CY,250,"22, 32, 88",214,184,154,125,96,68,2022,mj
CYJ,125,"22, 32",109,93,75,58,42,26,2022,mj
CZ,250,"23, 33, 89",211,183,155,126,97,69,2022,mj
DS,250,"21, 41, 96",194,167,140,114,89,64,2022,mj
DU,250,"23, 43, 95",193,167,141,115,90,65,2022,mj
DUN,125,"23, 43",111,98,84,66,48,31,2022,mj
DY,250,"22, 42, 95",194,167,140,114,89,64,2022,mj
ET,250,"22, 32, 97",202,172,142,114,87,60,2022,mj
EU,250,"23, 33, 98",199,171,143,115,88,61,2022,mj
