option,maximum mark after weighting,combination of components,a,b,c,d,e,year,month
X,140,"01, 21, 31",90,76,63,51,39,2022,on
Y,140,"01, 22, 32",90,76,63,51,39,2022,on
Z,140,"01, 23, 33",90,76,63,51,39,2022,on
P1,75,50,45,36,27,18,9,2023,on
X,140,"01, 21, 31",92,80,68,57,46,2023,on
Y,140,"01, 22, 32",92,80,68,57,46,2023,on
Z,140,"01, 23, 33",92,80,68,57,46,2023,on
P1,75,50,45,36,27,18,9,2023,mj
X,140,"01, 21, 31",96,83,71,59,48,2023,mj
Y,140,"01, 22, 32",94,82,70,59,48,2023,mj
Z,140,"01, 23, 33",94,82,70,59,48,2023,mj
X,140,"01, 21, 31",92,78,65,53,41,2022,mj
Y,140,"01, 22, 32",90,77,65,54,43,2022,mj
Z,140,"01, 23, 33",90,77,65,54,43,2022,mj
