option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
AY,180,"22, 32, 42",137,123,109,95,82,69,2022,mj
P1,150,50,102,87,72,58,44,30,2022,mj
AY,180,"22, 32, 42",143,128,113,99,86,73,2023,mj
AX,180,"21, 31, 41",134,120,106,93,80,67,2022,on
AY,180,"22, 32, 42",134,120,106,93,80,67,2022,on
AZ,180,"23, 33, 43",137,123,109,96,83,70,2022,on
P2,75,60,50,43,36,29,22,15,2022,on
AX,180,"21, 31, 41",138,124,110,97,84,71,2023,on
AY,180,"22, 32, 42",138,124,110,97,84,71,2023,on
AZ,180,"23, 33, 43",138,124,110,97,84,71,2023,on
