option,maximum mark after weighting,combination of components,a,b,c,d,e,year,month
SX,160,"04, 11, 21, 31",127,115,101,88,75,2024,mj
SY,160,"04, 12, 22, 32",127,115,101,88,75,2024,mj
SZ,160,"04, 13, 23, 33",127,115,101,88,75,2024,mj
SX,160,"04, 11, 21, 31",127,115,101,87,74,2025,mj
SY,160,"04, 12, 22, 32",127,115,101,87,74,2025,mj
SZ,160,"04, 13, 23, 33",127,115,101,87,74,2025,mj
SX,160,"04, 11, 21, 31",125,113,99,86,73,2024,on
SY,160,"04, 12, 22, 32",125,113,99,86,73,2024,on
SZ,160,"04, 13, 23, 33",125,113,99,86,73,2024,on
SX,160,"04, 11, 21, 31",126,114,100,86,73,2025,on
SY,160,"04, 12, 22, 32",126,114,100,86,73,2025,on
SZ,160,"04, 13, 23, 33",126,114,100,86,73,2025,on
