option,maximum mark after weighting,combination of components,a,b,c,d,e,year,month
Y,100,"22, 32",56,47,38,30,22,2022,mj
Y,100,"22, 32",59,50,41,33,25,2023,mj
Y,100,"22, 32",59,50,41,33,25,2024,mj
Y,100,"22, 32",65,56,47,39,31,2025,mj
X,100,"21, 31",56,47,38,30,22,2022,on
Y,100,"22, 32",56,47,38,30,22,2022,on
X,100,"21, 31",63,53,44,36,28,2023,on
Y,100,"22, 32",63,53,44,36,28,2023,on
Y,100,"22, 32",59,50,41,33,25,2024,on
Y,100,"22, 32",59,50,41,33,25,2025,on
