option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
CZ,300,"33, 43, 99",255,228,201,178,156,134,2024,mj
HX,150,"11, 82",–,127,118,106,95,84,2024,mj
HY,150,"12, 82",–,127,118,106,95,84,2024,mj
KX,300,"11, 31, 41, 82",263,237,211,186,162,138,2024,mj
KY,300,"12, 32, 42, 82",260,234,208,184,160,137,2024,mj
SX,150,"02, 11",–,127,118,107,96,86,2024,mj
SY,150,"02, 12",–,127,118,107,96,86,2024,mj
SZ,150,"02, 13",–,127,118,107,96,86,2024,mj
AX,300,"02, 11, 31, 41",251,223,195,171,147,124,2025,mj
AY,300,"02, 12, 32, 42",251,223,195,171,147,124,2025,mj
AZ,300,"02, 13, 33, 43",251,223,195,171,147,124,2025,mj
BX,300,"31, 41, 87",251,225,199,175,151,128,2025,mj
BY,300,"32, 42, 88",251,225,199,175,151,128,2025,mj
BZ,300,"33, 43, 89",251,225,199,175,151,128,2025,mj
CY,300,"32, 42, 98",250,222,194,171,148,126,2025,mj
HX,150,"11, 82/92",–,125,114,103,92,82,2025,mj
HY,150,"12, 82/92",–,125,114,103,92,82,2025,mj
KX,300,"11, 31, 41, 82/92",251,223,195,171,147,124,2025,mj
KY,300,"12, 32, 42, 82/92",251,223,195,171,147,124,2025,mj
SX,150,"02, 11",–,125,114,103,92,82,2025,mj
SY,150,"02, 12",–,125,114,103,92,82,2025,mj
SZ,150,"02, 13",–,125,114,103,92,82,2025,mj
AY,300,"02, 12, 32, 42",245,220,195,174,154,134,2022,on
AZ,300,"02, 13, 33, 43",245,220,195,174,154,134,2022,on
BX,300,"31, 41, 87",229,205,181,161,142,123,2022,on
BY,300,"32, 42, 88",231,213,195,170,145,120,2022,on
BZ,300,"33, 43, 89",231,213,195,170,145,120,2022,on
CY,300,"32, 42, 98",235,212,189,169,149,129,2022,on
CZN,150,"33, 43",103,94,85,72,60,48,2022,on
HX,150,"11, 82/92",–,121,109,98,88,78,2022,on
HY,150,"12, 82/92",–,121,109,98,88,78,2022,on
KX,300,"11, 31, 41, 82/92",245,220,195,174,154,134,2022,on
KY,300,"12, 32, 42, 82/92",245,220,195,174,154,134,2022,on
SX,150,"02, 11",–,121,109,98,88,78,2022,on
SY,150,"02, 12",–,121,109,98,88,78,2022,on
SZ,150,"02, 13",–,121,109,98,88,78,2022,on
AY,300,"02, 12, 32, 42",243,219,195,175,155,135,2023,on
AZ,300,"02, 13, 33, 43",243,219,195,175,155,135,2023,on
BX,300,"31, 41, 87",239,211,183,163,143,123,2023,on
BY,300,"32, 42, 88",239,215,191,169,148,127,2023,on
BZ,300,"33, 43, 89",239,215,191,169,148,127,2023,on
CY,300,"32, 42, 98",245,219,193,172,152,132,2023,on
HX,150,"11, 82/92",–,121,111,101,91,81,2023,on
HY,150,"12, 82/92",–,121,111,101,91,81,2023,on
KX,300,"11, 31, 41, 82/92",243,219,195,175,155,135,2023,on
KY,300,"12, 32, 42, 82/92",243,219,195,175,155,135,2023,on
KZ,300,"13, 33, 43, 82/92",243,219,195,175,155,135,2023,on
SX,150,"02, 11",–,121,111,101,91,81,2023,on
SY,150,"02, 12",–,121,111,101,91,81,2023,on
SZ,150,"02, 13",–,121,111,101,91,81,2023,on
AY,300,"02, 12, 32, 42",256,228,200,178,157,136,2024,on
BY,300,"32, 42, 88",257,231,205,183,161,139,2024,on
BZ,300,"33, 43, 89",257,231,205,183,161,139,2024,on
CY,300,"32, 42, 98",252,225,198,176,155,134,2024,on
HX1,150,"11, 82",–,124,113,103,93,84,2024,on
HX2,150,"11, 92",–,124,113,102,92,82,2024,on
HY1,150,"12, 82",–,124,113,103,93,84,2024,on
HY2,150,"12, 92",–,124,113,102,92,82,2024,on
HZ1,150,"13, 82",–,124,113,103,93,84,2024,on
HZ2,150,"13, 92",–,124,113,102,92,82,2024,on
KY1,300,"12, 32, 42, 82",256,228,200,179,158,137,2024,on
KY2,300,"12, 32, 42, 92",256,228,200,178,156,135,2024,on
KZ1,300,"13, 33, 43, 82",256,228,200,179,158,137,2024,on
KZ2,300,"13, 33, 43, 92",256,228,200,178,156,135,2024,on
SX,150,"02, 11",–,124,113,103,93,84,2024,on
SY,150,"02, 12",–,124,113,103,93,84,2024,on
SZ,150,"02, 13",–,124,113,103,93,84,2024,on
AY,300,"02, 12, 32, 42",265,234,203,182,162,142,2025,on
BX,300,"31, 41, 87",263,232,201,180,159,138,2025,on
BY,300,"32, 42, 88",263,232,201,180,159,138,2025,on
BZ,300,"33, 43, 89",263,232,201,180,159,138,2025,on
CY,300,"32, 42, 98",262,231,200,180,160,140,2025,on
HX,150,"11, 82",–,127,116,106,96,87,2025,on
HY,150,"12, 82/92",–,127,116,106,96,87,2025,on
KX,300,"11, 31, 41, 82",265,234,203,183,163,143,2025,on
KY,300,"12, 32, 42, 82/92",265,234,203,183,163,143,2025,on
KZ1,300,"13, 33, 43, 82",265,234,203,183,163,143,2025,on
KZ2,150,"13, 82",–,127,116,106,96,87,2025,on
SX,150,"02, 11",–,127,116,106,96,87,2025,on
SY,150,"02, 12",–,127,116,106,96,87,2025,on
SZ,150,"02, 13",–,127,116,106,96,87,2025,on
