option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
AY (AY1),200,"12, 22, 32, 42",158,143,128,113,98,84,2025,on
AY (AY2),100,"12, 22",–,66,60,53,47,41,2025,on
BY,200,"32, 42, 88",159,144,129,114,99,85,2025,on
CY,200,"32, 42, 98",158,143,128,113,98,84,2025,on
DY (DY1),200,"12, 22, 32, 42",158,143,128,113,98,84,2025,on
DY (DY2),200,"32, 42, 88",159,144,129,114,99,85,2025,on
DY (DY3),200,"32, 42, 98",158,143,128,113,98,84,2025,on
DY (DY4),100,"12, 22",–,66,60,53,47,41,2025,on
SX,100,"11, 21",–,66,60,53,47,41,2025,on
SY,100,"12, 22",–,66,60,53,47,41,2025,on
SZ,100,"13, 23",–,66,60,53,47,41,2025,on
AY (AY1),200,"12, 22, 32, 42",153,138,123,108,93,79,2024,mj
AY (AY2),100,"12, 22",–,67,61,54,48,42,2024,mj
CY,200,"32, 42, 98",153,138,123,108,93,79,2024,mj
SY,100,"12, 22",–,67,61,54,48,42,2024,mj
AY (AY1),200,"12, 22, 32, 42",155,140,125,110,95,81,2024,on
AY (AY2),100,"12, 22",–,66,60,53,47,41,2024,on
BY,200,"32, 42, 88",156,141,126,111,96,82,2024,on
CY,200,"32, 42, 98",156,141,126,111,96,82,2024,on
DY (DY1),200,"12, 22, 32, 42",155,140,125,110,95,81,2024,on
DY (DY2),200,"32, 42, 88",156,141,126,111,96,82,2024,on
DY (DY3),200,"32, 42, 98",156,141,126,111,96,82,2024,on
DY (DY4),100,"12, 22",–,66,60,53,47,41,2024,on
SX,100,"11, 21",–,66,60,53,47,41,2024,on
SY,100,"12, 22",–,66,60,53,47,41,2024,on
SZ,100,"13, 23",–,66,60,53,47,41,2024,on
AY (AY1),200,"12, 22, 32, 42",153,138,123,108,93,79,2025,mj
AY (AY2),100,"12, 22",–,67,61,54,48,42,2025,mj
BY,200,"32, 42, 88",153,138,123,108,93,79,2025,mj
CY,200,"32, 42, 98",152,137,122,107,92,78,2025,mj
SY,100,"12, 22",–,67,61,54,48,42,2025,mj
AY (AY1),200,"12, 22, 32, 42",145,131,117,103,90,77,2023,mj
AY (AY2),100,"12, 22",–,67,61,55,49,43,2023,mj
SY,100,"12, 22",–,67,61,55,49,43,2023,mj
AY (AY1),200,"12, 22, 32, 42",153,138,123,108,93,79,2023,on
AY (AY2),100,"12, 22",–,67,61,54,48,42,2023,on
BY,200,"32, 42, 88",153,138,123,108,94,80,2023,on
DY (DY1),200,"12, 22, 32, 42",153,138,123,108,93,79,2023,on
DY (DY2),200,"32, 42, 88",153,138,123,108,94,80,2023,on
DY (DY4),100,"12, 22",–,67,61,54,48,42,2023,on
SY,100,"12, 22",–,67,61,54,48,42,2023,on
