option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
AX,300,"11, 21, 31, 41",209,187,165,145,125,105,2023,mj
AY,300,"12, 22, 32, 42",211,188,165,145,125,105,2023,mj
BX,300,"31, 41, 87",207,186,165,144,124,104,2023,mj
BY,300,"32, 42, 88",206,185,164,143,122,102,2023,mj
BZ,300,"33, 43, 89",209,188,167,146,125,104,2023,mj
CX,300,"31, 41, 97",211,188,165,146,128,110,2023,mj
CY,300,"32, 42, 98",211,188,165,145,125,106,2023,mj
CZ,300,"33, 43, 89",209,188,167,146,125,104,2023,mj
SX,150,"11, 21",–,97,86,76,66,57,2023,mj
SY,150,"12, 22",–,98,86,76,66,57,2023,mj
SZ,150,"13, 23",–,98,86,76,66,57,2023,mj
AX,300,"11, 21, 31, 41",209,186,163,140,117,95,2024,mj
AY,300,"12, 22, 32, 42",213,189,165,141,118,95,2024,mj
BX,300,"31, 41, 87",204,185,166,145,125,105,2024,mj
BY,300,"32, 42, 88",206,186,166,145,125,105,2024,mj
BZ,300,"33, 43, 89",206,186,166,145,125,105,2024,mj
CX,300,"31, 41, 97",206,185,164,141,119,97,2024,mj
CY,300,"32, 42, 98",206,185,164,141,119,97,2024,mj
SX,150,"11, 21",–,98,83,71,59,47,2024,mj
SY,150,"12, 22",–,101,85,72,59,47,2024,mj
SZ,150,"13, 23",–,98,83,71,59,47,2024,mj
AX,300,"11, 21, 31, 41",211,185,159,138,117,97,2023,on
AY,300,"12, 22, 32, 42",211,185,159,138,117,97,2023,on
BX,300,"31, 41, 87",209,185,161,142,123,105,2023,on
BY,300,"32, 42, 88",211,186,161,142,123,105,2023,on
CX,300,"31, 41, 97",211,186,161,144,127,110,2023,on
CY,300,"32, 42, 98",211,186,161,142,124,106,2023,on
SX,150,"11, 21",–,97,84,72,60,49,2023,on
SY,150,"12, 22",–,97,84,72,60,49,2023,on
SZ,150,"13, 23",–,97,84,72,60,49,2023,on
AX,300,"11, 21, 31, 41",207,184,161,140,120,100,2024,on
AY,300,"12, 22, 32, 42",207,184,161,140,120,100,2024,on
BX,300,"31, 41, 87",213,186,159,138,117,97,2024,on
BY,300,"32, 42, 88",217,189,161,139,118,97,2024,on
CX,300,"31, 41, 97",210,185,160,139,119,99,2024,on
CY,300,"32, 42, 98",210,185,160,139,119,99,2024,on
SX,150,"11, 21",–,96,85,73,61,50,2024,on
SY,150,"12, 22",–,96,85,73,61,50,2024,on
SZ,150,"13, 23",–,96,85,73,61,50,2024,on
AX,300,"11, 21, 31, 41",207,183,159,137,115,93,2025,mj
AY,300,"12, 22, 32, 42",207,183,159,137,116,95,2025,mj
