option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
AX,200,"11, 21, 31, 41",157,137,117,100,83,67,2022,on
AY,200,"12, 22, 32, 42",157,137,117,100,83,67,2022,on
AZ,200,"13, 23, 33, 43",157,137,117,100,83,67,2022,on
CX,200,"31, 41, 97",154,134,114,97,80,64,2022,on
CY,200,"32, 42, 98",157,136,115,97,80,63,2022,on
CZ,200,"33, 43, 99",157,136,115,97,80,63,2022,on
SX,100,"11, 21",–,69,60,50,40,31,2022,on
SY,100,"12, 22",–,69,60,50,40,31,2022,on
SZ,100,"13, 23",–,69,60,50,40,31,2022,on
AX,200,"11, 21, 31, 41",165,143,121,104,87,71,2023,on
AY,200,"12, 22, 32, 42",166,144,122,105,88,72,2023,on
AZ,200,"13, 23, 33, 43",166,144,122,105,88,72,2023,on
CX,200,"31, 41, 97",163,141,119,102,85,69,2023,on
CY,200,"32, 42, 98",163,141,119,102,85,69,2023,on
CZ,200,"33, 43, 99",163,141,119,102,85,69,2023,on
SX,100,"11, 21",–,71,62,52,42,33,2023,on
SY,100,"12, 22",–,72,63,53,43,34,2023,on
SZ,100,"13, 23",–,72,63,53,43,34,2023,on
AX,200,"11, 21, 31, 41",163,141,119,102,85,69,2024,on
AY,200,"12, 22, 32, 42",163,141,119,102,85,69,2024,on
AZ,200,"13, 23, 33, 43",163,141,119,102,85,69,2024,on
CX,200,"31, 41, 97",165,143,121,104,87,71,2024,on
CY,200,"32, 42, 98",166,144,122,105,88,72,2024,on
CZ,200,"33, 43, 99",166,144,122,105,88,72,2024,on
SX,100,"11, 21",–,69,60,50,40,31,2024,on
SY,100,"12, 22",–,69,60,50,40,31,2024,on
SZ,100,"13, 23",–,69,60,50,40,31,2024,on
AX,200,"11, 21, 31, 41",163,141,119,102,85,69,2025,on
AY,200,"12, 22, 32, 42",165,143,121,104,87,71,2025,on
AZ,200,"13, 23, 33, 43",165,143,121,104,87,71,2025,on
CX,200,"31, 41, 97",163,141,119,102,85,69,2025,on
CY,200,"32, 42, 98",163,141,119,102,85,69,2025,on
CZ,200,"33, 43, 99",163,141,119,102,85,69,2025,on
SX,100,"11, 21",–,69,60,50,40,31,2025,on
SY,100,"12, 22",–,71,62,52,42,33,2025,on
SZ,100,"13, 23",–,71,62,52,42,33,2025,on
