option,maximum mark after weighting,combination of components,a,b,c,d,e,year,month
AY,100,"22, 32",58,49,40,31,22,2024,on
AY,100,"22, 32",58,49,40,31,22,2025,on
AY,100,"22, 32",58,49,40,31,22,2023,mj
AY,100,"22, 32",60,51,42,33,24,2025,mj
AY,100,"22, 32",57,48,39,30,21,2024,mj
AX,100,"21, 31",57,47,38,29,20,2022,on
AY,100,"22, 32",57,47,38,29,20,2022,on
AX,100,"21, 31",60,51,42,33,24,2023,on
AY,100,"22, 32",58,49,40,31,22,2023,on
AY,100,"22, 32",52,43,34,25,17,2022,mj
