option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
AX,200.0,"11, 21, 31, 41",149,134,119,104,89,75,2025,on
AY,200.0,"12, 22, 32, 42",149,134,119,104,89,75,2025,on
AZ,200.0,"13, 23, 33, 43",149,134,119,104,89,75,2025,on
BQ,200.0,"31, 41, 88",151,134,117,103,89,75,2025,on
BR,200.0,"32, 42, 89",152,135,118,103,89,75,2025,on
BX,200.0,"31, 41, 87",150,134,118,104,90,77,2025,on
BY,200.0,"32, 42, 88",151,134,117,103,89,75,2025,on
BZ,200.0,"33, 43, 89",152,135,118,103,89,75,2025,on
CX,200.0,"31, 41, 97",149,135,121,105,90,75,2025,on
CY,200.0,"32, 42, 98",149,135,121,105,90,75,2025,on
CZ,200.0,"33, 43, 99",149,135,121,105,90,75,2025,on
EV,200.0,"32, 42, 78",148,133,118,103,88,73,2025,on
SX,100.0,"11, 21",–,61,53,46,39,32,2025,on
SY,100.0,"12, 22",–,61,53,46,39,32,2025,on
SZ,100.0,"13, 23",–,61,53,46,39,32,2025,on
AX,200.0,"11, 21, 31, 41",148,132,116,102,88,74,2025,mj
AY,200.0,"12, 22, 32, 42",149,132,115,100,86,72,2025,mj
AZ,200.0,"13, 23, 33, 43",150,133,116,101,86,72,2025,mj
BX,200.0,"31, 41, 87",148,132,116,101,87,73,2025,mj
BY,200.0,"32, 42, 88",150,133,116,101,87,73,2025,mj
BZ,200.0,"33, 43, 89",150,133,116,101,87,73,2025,mj
CS,200.0,"31, 41, 99",147,133,119,103,87,72,2025,mj
CT,200.0,"32, 42, 97",147,133,119,103,87,72,2025,mj
CU,200.0,"33, 43, 98",147,133,119,103,87,72,2025,mj
CX,200.0,"31, 41, 97",147,133,119,103,87,72,2025,mj
CY,200.0,"32, 42, 98",147,133,119,103,87,72,2025,mj
SX,100.0,"11, 21",–,61,52,46,40,34,2025,mj
SY,100.0,"12, 22",–,61,51,44,38,32,2025,mj
SZ,100.0,"13, 23",–,62,52,45,38,32,2025,mj
AY,200.0,"12, 22, 32, 42",153,136,119,103,87,72,2025,fm
BY,200.0,"32, 42, 88",157,138,119,104,89,75,2025,fm
