option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
AY,200,"01, 22, 32, 42",166,149,132,116,101,86,2024,on
AZ,200,"01, 23, 33, 43",166,149,132,116,101,86,2024,on
P1,150,50,120,102,84,66,48,30,2022,mj
Y (Y1),200,"01, 02, 03, 04",163,146,129,113,98,83,2022,mj
AY,200,"01, 22, 32, 42",161,144,127,111,96,81,2022,on
AZ,200,"01, 23, 33, 43",161,144,127,111,96,81,2022,on
Y (Y1),200,"01, 02, 03, 04",169,152,135,119,104,89,2024,mj
Y (Y2),140,"01, 02, 03",–,97,84,72,61,50,2024,mj
AY,200,"01, 22, 32, 42",165,148,131,115,100,85,2023,on
AZ,200,"01, 23, 33, 43",166,149,132,116,101,86,2023,on
P2,75,60,63,54,45,36,27,18,2023,on
Y,200,"01, 02, 03, 04",166,149,132,116,101,86,2023,mj
