option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
A,180,"02, 03, 04",159,145,131,116,102,88,2023,on
A,180,"02, 03, 04",161,147,133,118,104,90,2024,on
A,180,"02, 03, 04",161,146,131,116,102,88,2025,mj
A,180,"02, 03, 04",154,140,126,111,96,82,2022,mj
A,180,"02, 03, 04",158,143,128,114,100,86,2023,mj
A,180,"02, 03, 04",161,147,133,118,104,90,2025,on
A,180,"02, 03, 04",156,142,128,114,100,86,2024,mj
A (A1),180,"02, 03, 04",155,140,125,110,96,82,2022,on
A (A2),110,"02, 03",–,80,69,59,50,41,2022,on
