option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
BZ,200.0,"33, 43, 89",143,125,107,92,77,62,2022,on
BZJ,100.0,"33, 43",67,59,51,43,36,29,2022,on
CX,200.0,"31, 41, 97",131,118,105,91,77,64,2022,on
CXN,100.0,"31, 41",67,60,53,46,39,32,2022,on
CY,200.0,"32, 42, 98",143,126,109,94,79,65,2022,on
CYN,100.0,"32, 42",67,59,51,43,36,29,2022,on
CZ,200.0,"33, 43, 99",139,123,107,94,81,68,2022,on
CZN,100.0,"33, 43",67,59,51,43,36,29,2022,on
EV,200.0,"32, 42, 78",140,123,106,92,78,64,2022,on
EVM,100.0,"32, 42",67,59,51,43,36,29,2022,on
P1,75.0,50,–,51,42,33,24,15,2022,on
SX,100.0,"11, 21",–,58,49,41,33,25,2022,on
SY,100.0,"12, 22",–,64,56,47,39,31,2022,on
SZ,100.0,"13, 23",–,62,54,46,38,30,2022,on
AX,180.0,"11, 21, 31, 41",129,112,95,83,71,60,2023,on
AY,180.0,"12, 22, 32, 42",135,117,99,86,73,61,2023,on
AZ,180.0,"13, 23, 33, 43",130,113,96,83,70,58,2023,on
BX,180.0,"31, 41, 87",129,110,91,79,67,56,2023,on
BY,180.0,"32, 42, 88",135,115,95,82,69,57,2023,on
BZ,180.0,"33, 43, 89",125,108,91,78,65,53,2023,on
CX,180.0,"31, 41, 97",131,113,95,83,71,59,2023,on
CY,180.0,"32, 42, 98",147,126,105,91,77,64,2023,on
CZ,180.0,"33, 43, 99",134,117,100,86,72,59,2023,on
DV,180.0,"32, 42, 78",133,114,95,82,69,57,2023,on
DW,180.0,"32, 42, 86",137,116,95,82,69,56,2023,on
SX,90.0,"11, 21",–,51,44,37,30,24,2023,on
SY,90.0,"12, 22",–,49,44,37,31,25,2023,on
SZ,90.0,"13, 23",–,52,45,38,32,26,2023,on
AY,180.0,"12, 22, 32, 42",123,110,97,83,70,57,2025,fm
