option,maximum mark after weighting,combination of components,a,b,c,d,e,year,month
Y,140,"01, 22, 32",94,81,69,58,47,2024,on
Z,140,"01, 23, 33",94,81,69,58,47,2024,on
AY,140,"01, 02, 03",94,81,69,58,47,2023,mj
P1,75,50,45,36,27,18,9,2023,mj
Y,140,"01, 22, 32",90,77,65,54,43,2022,on
Z,140,"01, 23, 33",90,77,65,54,43,2022,on
Y,140,"01, 22, 32",93,80,68,57,46,2023,on
Z,140,"01, 23, 33",94,81,69,58,47,2023,on
AY,140,"01, 02, 03",97,84,72,61,50,2024,mj
AY,140,"01, 02, 03",92,79,67,56,45,2022,mj
P1,75,50,42,33,24,15,6,2022,mj
