option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
AY (AY1),200,"12, 22, 32, 42",173,153,133,114,95,77,2023,on
AY (AY2),100,"12, 22",–,77,67,58,49,41,2023,on
B,200,"32, 42, 88",175,155,135,116,97,79,2023,on
SY,100,"12, 22",–,77,67,58,49,41,2023,on
AY (AY1),200,"12, 22, 32, 42",173,153,133,114,95,77,2024,on
AY (AY2),100,"12, 22",–,77,67,58,49,41,2024,on
SY,100,"12, 22",–,77,67,58,49,41,2024,on
AY,200,"12, 22, 32, 42",171,151,131,112,93,75,2022,on
CY1,200,"32, 42, 88",168,148,128,109,90,72,2022,on
CY2,200,"32, 42, 97",165,145,125,106,87,69,2022,on
SY,100,"12, 22",–,78,68,59,50,42,2022,on
AY (AY1),200,"12, 22, 32, 42",173,153,133,114,95,77,2025,on
AY (AY2),100,"12, 22",–,77,67,58,49,41,2025,on
SY,100,"12, 22",–,77,67,58,49,41,2025,on
AY (AY1),200,"12, 22, 32, 42",173,153,133,114,95,77,2025,mj
AY (AY2),100,"12, 22",–,77,67,58,49,41,2025,mj
B,200,"32, 42, 88",173,153,133,114,96,78,2025,mj
SY,100,"12, 22",–,77,67,58,49,41,2025,mj
AY,200,"12, 22, 32, 42",166,146,126,108,90,72,2022,mj
SY,100,"12, 22",–,75,65,56,47,39,2022,mj
AY (AY1),200,"12, 22, 32, 42",173,153,133,115,97,79,2023,mj
AY (AY2),100,"12, 22",–,79,69,60,51,43,2023,mj
B,200,"32, 42, 88",169,149,129,111,93,75,2023,mj
C,200,"32, 42, 97",172,152,132,114,96,78,2023,mj
SY,100,"12, 22",–,79,69,60,51,43,2023,mj
AY (AY1),200,"12, 22, 32, 42",171,151,131,113,95,78,2024,mj
AY (AY2),100,"12, 22",–,77,67,58,50,42,2024,mj
B,200,"32, 42, 88",173,153,133,115,97,79,2024,mj
C,200,"32, 42, 97",171,151,131,113,95,77,2024,mj
DY (DY1),200,"12, 22, 32, 42",171,151,131,113,95,78,2024,mj
DY (DY2),200,"32, 42, 88",173,153,133,115,97,79,2024,mj
DY (DY3),200,"32, 42, 97",171,151,131,113,95,77,2024,mj
DY (DY4),100,"12, 22",–,77,67,58,50,42,2024,mj
SY,100,"12, 22",–,77,67,58,50,42,2024,mj
