option,maximum mark after weighting,combination of components,a,b,c,d,e,year,month
SX,160,"04, 11, 21, 31",128,115,100,85,71,2025,mj
SY,160,"04, 12, 22, 32",126,113,98,83,69,2025,mj
SZ,160,"04, 13, 23, 33",128,115,100,85,71,2025,mj
SX,160,"04, 11, 21, 31",126,113,98,83,69,2025,on
SY,160,"04, 12, 22, 32",126,113,98,83,69,2025,on
SZ,160,"04, 13, 23, 33",126,113,98,83,69,2025,on
