option,maximum mark after weighting,combination of components,a,b,c,d,e,year,month
X,75,41,42,38,34,30,26,2022,mj
Y,75,42,42,38,34,30,26,2022,mj
X,75,41,46,42,38,34,30,2023,mj
Y,75,42,46,42,38,34,30,2023,mj
X,75,41,45,41,37,33,29,2022,on
Y,75,42,45,41,37,33,29,2022,on
X,75,41,46,42,38,34,30,2023,on
Y,75,42,46,42,38,34,30,2023,on
