option,maximum mark after weighting,combination of components,a,b,c,d,e,year,month
P1,75,50,42,33,24,15,6,2022,mj
X,140,"01, 21, 31",79,68,58,49,40,2022,mj
Y,140,"01, 22, 32",79,68,58,49,40,2022,mj
Z,140,"01, 23, 33",79,68,58,49,40,2022,mj
X,140,"01, 21, 31",81,70,60,51,42,2023,mj
Y,140,"01, 22, 32",81,70,60,51,42,2023,mj
Z,140,"01, 23, 33",81,70,60,51,42,2023,mj
X,140,"01, 21, 31",78,68,59,50,41,2024,mj
Y,140,"01, 22, 32",78,68,59,50,41,2024,mj
Z,140,"01, 23, 33",78,68,59,50,41,2024,mj
X,140,"01, 21, 31",79,68,59,50,41,2022,on
Y,140,"01, 22, 32",83,72,63,54,45,2022,on
Z,140,"01, 23, 33",79,68,59,50,41,2022,on
X,140,"01, 21, 31",84,73,64,55,46,2023,on
Y,140,"01, 22, 32",84,73,64,55,46,2023,on
Z,140,"01, 23, 33",84,73,64,55,46,2023,on
X,140,"01, 21, 31",85,74,65,56,47,2024,on
Y,140,"01, 22, 32",85,74,65,56,47,2024,on
Z,140,"01, 23, 33",85,74,65,56,47,2024,on
