option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
A,240,"01, 02, 03, 04",197,169,141,113,86,59,2023,mj
S,120,"01, 02",–,84,70,56,43,30,2023,mj
C,240,"03, 04, 67",185,159,133,107,81,56,2023,mj
A (A1),240,"01, 02, 03, 04",197,169,141,113,86,59,2024,mj
A (A2),120,"01, 02",–,84,70,56,43,30,2024,mj
A (A1),240,"01, 02, 03, 04",171,147,123,101,80,59,2025,mj
A (A2),120,"01, 02",–,75,63,52,41,30,2025,mj
A,240,"01, 02, 03, 04",179,154,129,103,77,52,2022,on
C,240,"03, 04, 67",190,163,136,108,80,52,2022,on
S,120,"01, 02",–,74,62,50,38,27,2022,on
A,240,"01, 02, 03, 04",177,153,129,107,85,63,2023,on
S,120,"01, 02",–,76,64,53,43,33,2023,on
A (A1),240,"01, 02, 03, 04",171,147,123,101,79,58,2024,on
A (A2),120,"01, 02",–,75,63,52,41,31,2024,on
S,120,"01, 02",–,75,63,52,41,31,2024,on
A (A1),240,"01, 02, 03, 04",169,144,119,98,78,58,2025,on
A (A2),120,"01, 02",–,72,59,49,39,29,2025,on
S,120,"01, 02",–,72,59,49,39,29,2025,on
