option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
AY,200,"02, 04, 12, 32",179,164,149,134,119,105,2023,on
AZ,200,"02, 04, 13, 33",179,164,149,134,119,105,2023,on
BY,200,"04, 32, 88",180,164,148,132,116,100,2023,on
CY,200,"04, 32, 98",177,162,147,132,117,103,2023,on
CZ,200,"04, 33, 99",177,162,147,132,117,103,2023,on
HY,200,"04, 12, 32, 82/92",179,164,149,134,119,105,2023,on
HZ,200,"04, 13, 33, 92",179,164,149,134,119,105,2023,on
IY,200,"12, 32, 92, 94",179,164,149,134,119,105,2023,on
SB,100,"12, 82/92",–,83,76,68,60,53,2023,on
SX,100,"02, 11",–,83,76,68,60,53,2023,on
SY,100,"02, 12",–,83,76,68,60,53,2023,on
SZ,100,"02, 13",–,83,76,68,60,53,2023,on
AX,200,"02, 04, 11, 31",180,165,150,134,119,104,2024,mj
AY,200,"02, 04, 12, 32",180,165,150,134,119,104,2024,mj
BY,200,"04, 32, 88",180,165,150,133,116,100,2024,mj
HY,200,"04, 12, 32, 82/92",180,165,150,134,119,104,2024,mj
SX,100,"02, 11",–,82,75,67,59,52,2024,mj
SY,100,"02, 12",–,82,75,67,59,52,2024,mj
AY,200,"02, 04, 12, 32",176,161,146,131,116,102,2025,on
AZ,200,"02, 04, 13, 33",176,161,146,131,116,102,2025,on
BY,200,"04, 32, 88",177,161,145,130,115,101,2025,on
CY,200,"04, 32, 98",178,165,152,136,120,104,2025,on
CZ,200,"04, 33, 99",178,165,152,136,120,104,2025,on
HY,200,"04, 12, 32, 82",176,161,146,131,116,102,2025,on
SX,100,"02, 11",–,81,74,66,59,52,2025,on
SY,100,"02, 12",–,81,74,66,59,52,2025,on
SZ,100,"02, 13",–,81,74,66,59,52,2025,on
TX,100,"11, 82",–,81,74,66,59,52,2025,on
TY,100,"12, 82",–,81,74,66,59,52,2025,on
AY,200,"02, 04, 12, 32",180,165,150,132,114,97,2023,mj
BY,200,"04, 32, 88",179,163,147,129,111,94,2023,mj
CY,200,"04, 32, 98",177,163,149,132,116,100,2023,mj
IY,200,"12, 32, 82/92/82/84, 84/94/94/92",180,165,150,132,114,97,2023,mj
SB,100,"12, 82/92",–,82,75,66,57,48,2023,mj
SY,100,"02, 12",–,82,75,66,57,48,2023,mj
AX,200,"02, 04, 11, 31",175,160,145,130,115,101,2025,mj
AY,200,"02, 04, 12, 32",175,160,145,130,115,101,2025,mj
BY,200,"04, 32, 88",177,162,147,132,117,102,2025,mj
CY,200,"04, 32, 98",178,165,152,136,120,104,2025,mj
CZ,200,"04, 33, 99",178,165,152,136,120,104,2025,mj
D3,200,"02, 04, 13, 33",175,160,145,130,115,101,2025,mj
SX,100,"02, 11",–,81,73,65,58,51,2025,mj
SY,100,"02, 12",–,81,73,65,58,51,2025,mj
SZ,100,"02, 13",–,81,73,65,58,51,2025,mj
AY,200,"02, 04, 12, 32",176,160,144,126,108,91,2022,mj
CY,200,"04, 32, 98",173,158,143,126,110,94,2022,mj
IJ,200,"12, 32, 82, 84",176,160,144,126,108,91,2022,mj
SB,100,"12, 92",–,80,72,63,54,45,2022,mj
SY,100,"02, 12",–,80,72,63,54,45,2022,mj
AY,200,"02, 04, 12, 32",177,162,147,131,115,100,2022,on
AZ,200,"02, 04, 13, 33",177,162,147,131,115,100,2022,on
BY,200,"04, 32, 88",179,162,145,128,111,94,2022,on
CY,200,"04, 32, 98",176,160,144,128,112,97,2022,on
CZ,200,"04, 33, 99",176,160,144,128,112,97,2022,on
HY1,200,"04, 12, 32, 82",177,162,147,131,115,100,2022,on
HY2,200,"04, 12, 32, 92",177,162,147,131,115,100,2022,on
HY3,100,"12, 82",–,80,74,66,58,51,2022,on
HY4,100,"12, 92",–,80,74,66,58,51,2022,on
HZ2,200,"04, 13, 33, 92",177,162,147,131,115,100,2022,on
HZ4,100,"13, 92",–,80,74,66,58,51,2022,on
IY1,200,"12, 32, 82, 84",177,162,147,131,115,100,2022,on
IY2,200,"12, 32, 92, 94",177,162,147,131,115,100,2022,on
IY5,200,"12, 32, 82, 94",177,162,147,131,115,100,2022,on
IY6,200,"12, 32, 84, 92",177,162,147,131,115,100,2022,on
SX,100,"02, 11",–,80,74,66,58,51,2022,on
SY,100,"02, 12",–,80,74,66,58,51,2022,on
SZ,100,"02, 13",–,80,74,66,58,51,2022,on
AY,200,"02, 04, 12, 32",180,167,154,138,123,108,2024,on
AZ,200,"02, 04, 13, 33",180,167,154,138,123,108,2024,on
BY,200,"04, 32, 88",178,164,150,135,120,106,2024,on
CY,200,"04, 32, 98",179,165,151,136,121,107,2024,on
CZ,200,"04, 33, 99",179,165,151,136,121,107,2024,on
HY,200,"04, 12, 32, 82/92",180,167,154,138,123,108,2024,on
HZ,200,"04, 13, 33, 92",180,167,154,138,123,108,2024,on
IY1,200,"12, 32, 82, 84",180,167,154,138,123,108,2024,on
IY2,200,"12, 32, 92, 94",180,167,154,138,123,108,2024,on
IY5,200,"12, 32, 82, 94",180,167,154,138,123,108,2024,on
IY6,200,"12, 32, 84, 92",180,167,154,138,123,108,2024,on
S1,100,"11, 82/92",–,85,80,71,62,54,2024,on
SB,100,"12, 82/92",–,85,80,71,62,54,2024,on
SX,100,"02, 11",–,85,80,71,62,54,2024,on
SY,100,"02, 12",–,85,80,71,62,54,2024,on
SZ,100,"02, 13",–,85,80,71,62,54,2024,on
