option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
OV,,"32, 52, 75",218,187,156,122,89,56,2022,fm
PV,,"32, 42, 78",221,193,162,128,94,60,2022,fm
RV,,"32, 62, 78",219,189,159,125,92,59,2022,fm
S4,,"12, 22",–,92,79,62,46,30,2022,fm
S5,,"12, 42",–,95,80,63,46,29,2022,fm
S6,,"12, 52",–,91,76,59,42,26,2022,fm
AX,250.0,"11, 31, 41, 51",199,174,149,116,83,51,2024,mj
AY,250.0,"12, 32, 42, 52",212,180,148,115,82,49,2024,mj
AZ,250.0,"13, 33, 43, 53",222,195,164,129,94,60,2024,mj
CX,250.0,"11, 31, 51, 61",201,175,149,117,85,53,2024,mj
CY,250.0,"12, 32, 52, 62",215,183,151,118,85,53,2024,mj
CZ,250.0,"13, 33, 53, 63",224,198,168,134,101,68,2024,mj
DX,250.0,"31, 51, 84",197,171,145,115,85,56,2024,mj
DY,250.0,"32, 52, 85",203,171,139,108,78,48,2024,mj
DZ,250.0,"33, 53, 86",224,198,168,134,100,66,2024,mj
EX,250.0,"31, 41, 87",198,172,146,115,84,54,2024,mj
EY,250.0,"32, 42, 88",202,171,140,109,78,48,2024,mj
EZ,250.0,"33, 43, 89",222,195,164,129,94,59,2024,mj
GX,250.0,"31, 61, 87",200,173,146,116,86,56,2024,mj
GY,250.0,"32, 62, 88",205,174,143,112,82,52,2024,mj
GZ,250.0,"33, 63, 89",224,198,168,134,100,67,2024,mj
HY,250.0,"32, 52, 95",206,178,150,116,83,50,2024,mj
HZ,250.0,"33, 53, 96",227,205,180,147,114,82,2024,mj
IX,250.0,"31, 41, 97",209,180,151,119,87,55,2024,mj
IY,250.0,"32, 42, 98",207,179,151,118,85,53,2024,mj
IZ,250.0,"33, 43, 99",225,201,175,142,110,78,2024,mj
KX,250.0,"31, 61, 97",211,181,151,119,88,57,2024,mj
KY,250.0,"32, 62, 98",210,182,154,121,89,57,2024,mj
KZ,250.0,"33, 63, 99",227,204,179,148,117,86,2024,mj
S1,125.0,"11, 21",–,91,78,61,44,27,2024,mj
S2,125.0,"11, 41",–,89,78,60,42,25,2024,mj
S3,125.0,"11, 51",–,87,76,58,41,24,2024,mj
S4,125.0,"12, 22",–,100,82,63,44,25,2024,mj
S5,125.0,"12, 42",–,96,79,60,42,24,2024,mj
S6,125.0,"12, 52",–,96,79,60,41,23,2024,mj
S7,125.0,"13, 23",–,98,81,62,43,25,2024,mj
S8,125.0,"13, 43",–,97,80,60,41,22,2024,mj
S9,125.0,"13, 53",–,102,87,68,49,30,2024,mj
AC,250.0,"15, 35, 45, 55",227,204,176,140,104,69,2025,on
AX,250.0,"11, 31, 41, 51",223,197,169,134,99,64,2025,on
AY,250.0,"12, 32, 42, 52",205,178,151,118,86,54,2025,on
AZ,250.0,"13, 33, 43, 53",225,200,171,137,103,70,2025,on
CC,250.0,"15, 35, 55, 65",230,210,184,148,112,77,2025,on
CX,250.0,"11, 31, 51, 61",227,205,179,143,107,71,2025,on
CY,250.0,"12, 32, 52, 62",204,179,154,122,90,59,2025,on
CZ,250.0,"13, 33, 53, 63",230,210,185,149,113,77,2025,on
DC,250.0,"35, 55, 82",229,208,179,141,104,67,2025,on
DX,250.0,"31, 51, 84",225,201,173,136,99,63,2025,on
DY,250.0,"32, 52, 85",212,187,162,132,102,72,2025,on
DZ,250.0,"33, 53, 86",228,206,177,139,101,64,2025,on
EC,250.0,"35, 45, 83",226,203,173,136,99,62,2025,on
EX,250.0,"31, 41, 87",223,196,166,131,96,62,2025,on
EY,250.0,"32, 42, 88",208,180,152,119,87,55,2025,on
EZ,250.0,"33, 43, 89",224,198,167,132,97,63,2025,on
GC,250.0,"35, 65, 83",229,209,181,144,107,70,2025,on
GX,250.0,"31, 61, 87",227,204,176,140,104,69,2025,on
GY,250.0,"32, 62, 88",207,181,155,123,91,60,2025,on
GZ,250.0,"33, 63, 89",229,208,181,144,107,70,2025,on
HN,250.0,"35, 55, 96",224,199,171,137,103,69,2025,on
HX,250.0,"31, 51, 94",214,189,164,130,96,63,2025,on
HY,250.0,"32, 52, 95",194,168,142,111,81,51,2025,on
HZ,250.0,"33, 53, 96",224,199,170,136,102,68,2025,on
IN,250.0,"35, 45, 99",221,193,163,130,97,65,2025,on
IX,250.0,"31, 41, 97",215,188,161,128,95,63,2025,on
IY,250.0,"32, 42, 98",197,172,147,117,87,58,2025,on
IZ,250.0,"33, 43, 99",219,189,158,127,97,67,2025,on
KN,250.0,"35, 65, 99",224,199,171,138,105,73,2025,on
KX,250.0,"31, 61, 97",221,196,171,137,103,70,2025,on
KY,250.0,"32, 62, 98",196,173,150,121,92,63,2025,on
KZ,250.0,"33, 63, 99",224,199,172,139,106,74,2025,on
OV,250.0,"32, 52, 75",212,188,164,134,104,74,2025,on
PV,250.0,"32, 42, 78",208,184,160,132,104,77,2025,on
RV,250.0,"32, 62, 78",207,185,163,136,109,82,2025,on
S1,125.0,"11, 21",–,102,88,68,48,29,2025,on
S2,125.0,"11, 41",–,98,83,64,46,28,2025,on
S3,125.0,"11, 51",–,101,88,69,50,31,2025,on
S4,125.0,"12, 22",–,102,88,68,48,29,2025,on
S5,125.0,"12, 42",–,95,80,62,44,27,2025,on
S6,125.0,"12, 52",–,98,84,64,45,26,2025,on
S7,125.0,"13, 23",–,103,91,71,51,32,2025,on
S8,125.0,"13, 43",–,97,82,65,48,31,2025,on
S9,125.0,"13, 53",–,106,94,74,55,36,2025,on
SA,125.0,"15, 25",–,105,92,71,51,31,2025,on
SB,125.0,"15, 45",–,101,86,67,48,29,2025,on
SC,125.0,"15, 55",–,106,94,75,56,37,2025,on
AX,250.0,"11, 31, 41, 51",208,181,154,125,96,67,2022,mj
AY,250.0,"12, 32, 42, 52",214,184,154,120,86,52,2022,mj
AZ,250.0,"13, 33, 43, 53",217,190,163,134,105,77,2022,mj
CX,250.0,"11, 31, 51, 61",208,182,156,126,96,66,2022,mj
CY,250.0,"12, 32, 52, 62",216,186,156,122,89,56,2022,mj
CZ,250.0,"13, 33, 53, 63",222,194,165,136,107,78,2022,mj
DX,250.0,"31, 51, 84",202,174,146,116,86,57,2022,mj
DXJ,125.0,"31, 51",107,90,69,50,31,13,2022,mj
DY,250.0,"32, 52, 85",202,175,148,115,83,51,2022,mj
DYJ,125.0,"32, 52",108,92,70,51,32,13,2022,mj
DZ,250.0,"33, 53, 86",210,184,158,129,101,73,2022,mj
DZJ,125.0,"33, 53",109,93,74,56,38,21,2022,mj
EX,250.0,"31, 41, 87",204,175,146,117,88,59,2022,mj
EXJ,125.0,"31, 41",106,88,66,48,30,13,2022,mj
EY,250.0,"32, 42, 88",213,185,157,124,91,59,2022,mj
EYJ,125.0,"32, 42",109,93,72,52,32,13,2022,mj
EZ,250.0,"33, 43, 89",216,189,162,133,104,75,2022,mj
EZJ,125.0,"33, 43",109,93,74,56,39,22,2022,mj
GX,250.0,"31, 61, 87",204,176,148,118,88,58,2022,mj
GXJ,125.0,"31, 61",107,89,68,49,31,13,2022,mj
GY,250.0,"32, 62, 88",215,187,159,127,95,63,2022,mj
GYJ,125.0,"32, 62",110,95,74,54,34,14,2022,mj
GZ,250.0,"33, 63, 89",221,193,164,134,105,76,2022,mj
GZJ,125.0,"33, 63",111,97,75,57,39,22,2022,mj
HX,250.0,"31, 51, 94",205,176,147,116,85,55,2022,mj
HY,250.0,"32, 52, 95",201,172,143,109,76,43,2022,mj
HYN,125.0,"32, 52",108,92,70,51,32,13,2022,mj
HZ,250.0,"33, 53, 96",208,181,154,124,95,66,2022,mj
HZN,125.0,"33, 53",109,93,74,56,38,21,2022,mj
IX,250.0,"31, 41, 97",204,175,146,116,86,56,2022,mj
IY,250.0,"32, 42, 98",212,182,152,116,81,46,2022,mj
IYN,125.0,"32, 42",109,93,72,52,32,13,2022,mj
IZ,250.0,"33, 43, 99",212,186,160,131,102,74,2022,mj
IZN,125.0,"33, 43",109,93,74,56,39,22,2022,mj
KX,250.0,"31, 61, 97",204,176,148,117,86,55,2022,mj
KY,250.0,"32, 62, 98",214,184,154,119,84,50,2022,mj
KYN,125.0,"32, 62",110,95,74,54,34,14,2022,mj
KZ,250.0,"33, 63, 99",218,190,162,133,104,75,2022,mj
KZN,125.0,"33, 63",111,97,75,57,39,22,2022,mj
P2,75.0,58,–,51,42,33,24,15,2022,mj
P3,75.0,59,–,50,44,35,26,18,2022,mj
P4,150.0,"59, 60",114,101,88,70,53,36,2022,mj
P5,150.0,"59, 69",118,102,86,68,50,33,2022,mj
P6,150.0,"68, 80",126,111,96,79,62,45,2022,mj
P7,150.0,"60, 81",125,111,97,80,64,48,2022,mj
P8,150.0,"69, 81",129,112,95,78,61,45,2022,mj
S1,125.0,"11, 21",–,89,76,59,43,27,2022,mj
S2,125.0,"11, 41",–,90,76,61,47,33,2022,mj
S3,125.0,"11, 51",–,92,79,63,48,33,2022,mj
S4,125.0,"12, 22",–,89,72,54,36,19,2022,mj
S5,125.0,"12, 42",–,91,74,56,39,22,2022,mj
S6,125.0,"12, 52",–,90,73,55,37,19,2022,mj
S7,125.0,"13, 23",–,94,80,63,46,30,2022,mj
S8,125.0,"13, 43",–,96,81,66,51,36,2022,mj
S9,125.0,"13, 53",–,96,81,65,50,35,2022,mj
