option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
AY,250.0,"12, 32, 42, 52",231,212,187,156,125,94,2025,fm
CY,250.0,"12, 32, 52, 62",231,213,188,156,125,94,2025,fm
DY,250.0,"32, 52, 85",226,203,173,139,105,71,2025,fm
EY,250.0,"32, 42, 88",227,204,173,138,103,68,2025,fm
GY,250.0,"32, 62, 88",227,205,174,138,103,68,2025,fm
HY,250.0,"32, 52, 95",219,192,165,133,102,71,2025,fm
IY,250.0,"32, 42, 98",225,200,174,141,108,75,2025,fm
KY,250.0,"32, 62, 98",225,201,175,141,108,75,2025,fm
OV,250.0,"32, 52, 75",229,208,183,153,123,93,2025,fm
PV,250.0,"32, 42, 78",232,215,190,158,126,94,2025,fm
RV,250.0,"32, 62, 78",233,216,191,158,126,94,2025,fm
S4,125.0,"12, 22",–,101,91,74,58,42,2025,fm
S5,125.0,"12, 42",–,105,93,77,62,47,2025,fm
S6,125.0,"12, 52",–,104,93,78,63,49,2025,fm
PV,250.0,"32, 42, 78",215,186,157,124,92,60,2023,fm
PVM,125.0,"32, 42",109,94,72,52,32,13,2023,fm
RV,250.0,"32, 62, 78",215,188,161,129,97,66,2023,fm
RVM,125.0,"32, 62",110,96,76,56,37,18,2023,fm
S4,125.0,"12, 22",–,98,86,70,55,40,2023,fm
S5,125.0,"12, 42",–,97,82,66,50,34,2023,fm
S6,125.0,"12, 52",–,96,81,66,51,36,2023,fm
AX,250.0,"11, 31, 41, 51",213,185,157,126,95,64,2023,on
AY,250.0,"12, 32, 42, 52",214,188,162,129,96,63,2023,on
AZ,250.0,"13, 33, 43, 53",234,219,197,165,133,101,2023,on
CX,250.0,"11, 31, 51, 61",217,188,159,129,99,69,2023,on
CY,250.0,"12, 32, 52, 62",211,184,157,125,93,61,2023,on
CZ,250.0,"13, 33, 53, 63",232,215,193,161,129,97,2023,on
DX,250.0,"31, 51, 84",203,178,153,124,96,68,2023,on
DY,250.0,"32, 52, 85",211,181,151,121,91,61,2023,on
DZ,250.0,"33, 53, 86",231,212,185,151,118,85,2023,on
EX,250.0,"31, 41, 87",202,177,152,122,92,63,2023,on
EY,250.0,"32, 42, 88",209,180,151,120,89,58,2023,on
EZ,250.0,"33, 43, 89",231,213,186,151,116,82,2023,on
GX,250.0,"31, 61, 87",206,180,154,125,96,68,2023,on
GY,250.0,"32, 62, 88",206,176,146,116,86,56,2023,on
GZ,250.0,"33, 63, 89",229,209,182,147,112,78,2023,on
HY,250.0,"32, 52, 95",215,189,163,130,98,66,2023,on
HZ,250.0,"33, 53, 96",222,197,172,143,115,87,2023,on
IY,250.0,"32, 42, 98",214,189,164,130,96,63,2023,on
IZ,250.0,"33, 43, 99",227,204,178,147,117,87,2023,on
KX,250.0,"31, 61, 97",220,191,161,133,105,77,2023,on
KY,250.0,"32, 62, 98",211,185,159,126,93,61,2023,on
KZ,250.0,"33, 63, 99",225,200,174,143,113,83,2023,on
OV,250.0,"32, 52, 75",219,191,163,132,102,72,2023,on
P2,75.0,58,–,66,61,53,46,39,2023,on
P3,75.0,59,–,64,59,49,39,30,2023,on
PV,250.0,"32, 42, 78",217,189,161,131,101,72,2023,on
RV,250.0,"32, 62, 78",214,185,156,127,98,70,2023,on
S1,125.0,"11, 21",–,94,79,61,44,27,2023,on
S2,125.0,"11, 41",–,93,78,60,43,26,2023,on
S3,125.0,"11, 51",–,93,78,61,44,28,2023,on
S4,125.0,"12, 22",–,94,81,62,44,26,2023,on
S5,125.0,"12, 42",–,94,81,62,43,25,2023,on
S6,125.0,"12, 52",–,95,82,63,45,27,2023,on
S7,125.0,"13, 23",–,101,91,72,54,36,2023,on
S8,125.0,"13, 43",–,107,96,78,61,44,2023,on
S9,125.0,"13, 53",–,108,98,81,64,48,2023,on
AC,250.0,"15, 35, 45, 55",225,201,175,136,97,59,2025,mj
AX,250.0,"11, 31, 41, 51",224,198,171,133,95,57,2025,mj
AY,250.0,"12, 32, 42, 52",224,198,171,138,105,72,2025,mj
AZ,250.0,"13, 33, 43, 53",223,197,170,131,93,55,2025,mj
CC,250.0,"15, 35, 55, 65",226,202,178,139,101,63,2025,mj
CX,250.0,"11, 31, 51, 61",221,195,169,133,97,61,2025,mj
CY,250.0,"12, 32, 52, 62",224,198,169,132,95,59,2025,mj
CZ,250.0,"13, 33, 53, 63",219,195,171,134,97,61,2025,mj
DN,250.0,"35, 55, 86",220,193,166,128,91,54,2025,mj
DX,250.0,"31, 51, 84",208,185,162,126,90,55,2025,mj
DY,250.0,"32, 52, 85",220,190,159,123,87,51,2025,mj
DZ,250.0,"33, 53, 86",220,191,162,125,88,52,2025,mj
EN,250.0,"35, 45, 89",224,198,171,133,96,59,2025,mj
EX,250.0,"31, 41, 87",208,185,162,125,88,52,2025,mj
EY,250.0,"32, 42, 88",222,194,165,132,100,68,2025,mj
EZ,250.0,"33, 43, 89",222,195,167,130,93,56,2025,mj
GN,250.0,"35, 65, 89",224,199,174,137,100,63,2025,mj
GX,250.0,"31, 61, 87",204,182,160,125,90,56,2025,mj
GY,250.0,"32, 62, 88",222,194,163,127,91,55,2025,mj
GZ,250.0,"33, 63, 89",218,193,168,132,97,62,2025,mj
HN,250.0,"35, 55, 96",217,192,167,131,96,61,2025,mj
HY,250.0,"32, 52, 95",207,179,151,117,84,51,2025,mj
HZ,250.0,"33, 53, 96",217,190,163,128,93,59,2025,mj
IN,250.0,"35, 45, 99",217,191,165,130,96,62,2025,mj
IX,250.0,"31, 41, 97",214,190,166,130,94,58,2025,mj
IY,250.0,"32, 42, 98",214,190,166,135,105,75,2025,mj
IZ,250.0,"33, 43, 99",215,188,161,127,93,59,2025,mj
KN,250.0,"35, 65, 99",216,192,168,134,100,66,2025,mj
KX,250.0,"31, 61, 97",210,187,164,130,96,62,2025,mj
KY,250.0,"32, 62, 98",216,190,164,130,96,62,2025,mj
KZ,250.0,"33, 63, 99",210,186,162,129,97,65,2025,mj
P3,75.0,59,–,64,59,49,39,30,2025,mj
P4,150.0,"59, 60",138,128,118,101,84,67,2025,mj
S1,125.0,"11, 21",–,97,82,63,45,27,2025,mj
S2,125.0,"11, 41",–,102,87,67,47,27,2025,mj
S3,125.0,"11, 51",–,100,85,66,47,29,2025,mj
S4,125.0,"12, 22",–,99,83,64,45,27,2025,mj
S5,125.0,"12, 42",–,104,91,75,60,45,2025,mj
S6,125.0,"12, 52",–,100,85,65,46,27,2025,mj
S7,125.0,"13, 23",–,100,85,65,45,26,2025,mj
S8,125.0,"13, 43",–,103,88,67,46,25,2025,mj
S9,125.0,"13, 53",–,104,90,69,49,29,2025,mj
SA,125.0,"15, 25",–,102,85,65,45,25,2025,mj
SB,125.0,"15, 45",–,105,89,68,47,27,2025,mj
SC,125.0,"15, 55",–,105,91,70,50,30,2025,mj
CX,250.0,"11, 31, 51, 61",215,189,163,131,99,67,2024,on
CY,250.0,"12, 32, 52, 62",210,185,160,127,95,63,2024,on
CZ,250.0,"13, 33, 53, 63",221,193,164,132,101,70,2024,on
DX,250.0,"31, 51, 84",207,183,159,126,93,60,2024,on
DY,250.0,"32, 52, 85",217,187,157,124,91,58,2024,on
DZ,250.0,"33, 53, 86",221,192,159,125,91,57,2024,on
EX,250.0,"31, 41, 87",203,179,155,122,89,56,2024,on
EY,250.0,"32, 42, 88",212,180,148,115,83,51,2024,on
EZ,250.0,"33, 43, 89",224,198,166,131,96,61,2024,on
GX,250.0,"31, 61, 87",209,184,159,126,93,61,2024,on
GY,250.0,"32, 62, 88",219,189,159,124,90,56,2024,on
GZ,250.0,"33, 63, 89",225,200,170,135,101,67,2024,on
HY,250.0,"32, 52, 95",211,185,159,125,92,59,2024,on
HZ,250.0,"33, 53, 96",226,202,175,143,111,79,2024,on
IX,250.0,"31, 41, 97",213,185,157,124,92,60,2024,on
IY,250.0,"32, 42, 98",207,179,151,119,87,55,2024,on
IZ,250.0,"33, 43, 99",227,204,177,144,111,79,2024,on
KX,250.0,"31, 61, 97",219,190,161,129,97,65,2024,on
KY,250.0,"32, 62, 98",214,188,162,128,94,60,2024,on
KZ,250.0,"33, 63, 99",228,206,181,149,117,85,2024,on
OV,250.0,"32, 52, 75",217,192,167,138,109,80,2024,on
PV,250.0,"32, 42, 78",217,191,165,135,106,77,2024,on
RV,250.0,"32, 62, 78",224,200,176,144,113,82,2024,on
S1,125.0,"11, 21",–,92,79,61,44,27,2024,on
S2,125.0,"11, 41",–,90,78,61,44,27,2024,on
S3,125.0,"11, 51",–,92,80,63,46,30,2024,on
S4,125.0,"12, 22",–,92,79,61,44,27,2024,on
S5,125.0,"12, 42",–,85,71,55,39,24,2024,on
S6,125.0,"12, 52",–,92,80,63,46,30,2024,on
S7,125.0,"13, 23",–,95,82,64,47,30,2024,on
S8,125.0,"13, 43",–,96,81,63,46,29,2024,on
S9,125.0,"13, 53",–,95,81,65,49,33,2024,on
AX,250.0,"11, 31, 41, 51",197,173,149,119,89,60,2023,mj
AY,250.0,"12, 32, 42, 52",208,177,146,114,83,52,2023,mj
AZ,250.0,"13, 33, 43, 53",223,197,169,134,100,66,2023,mj
CX,250.0,"11, 31, 51, 61",198,175,152,121,90,60,2023,mj
CY,250.0,"12, 32, 52, 62",206,178,150,119,88,58,2023,mj
CZ,250.0,"13, 33, 53, 63",223,197,169,135,102,69,2023,mj
DO,250.0,"34, 85",209,179,149,115,82,49,2023,mj
DX,250.0,"31, 51, 84",203,177,151,121,92,63,2023,mj
DY,250.0,"32, 52, 85",212,181,150,117,84,51,2023,mj
DZ,250.0,"33, 53, 86",220,193,166,135,104,74,2023,mj
EX,250.0,"31, 41, 87",205,180,155,125,95,66,2023,mj
EY,250.0,"32, 42, 88",212,180,148,115,82,49,2023,mj
EZ,250.0,"33, 43, 89",219,191,163,132,102,72,2023,mj
GX,250.0,"31, 61, 87",206,182,158,127,96,66,2023,mj
GY,250.0,"32, 62, 88",210,181,152,119,87,55,2023,mj
GZ,250.0,"33, 63, 89",219,191,163,133,104,75,2023,mj
HO,250.0,"34, 95",209,183,157,123,89,55,2023,mj
HY,250.0,"32, 52, 95",212,185,158,124,90,57,2023,mj
HZ,250.0,"33, 53, 96",208,182,156,126,97,68,2023,mj
IX,250.0,"31, 41, 97",212,184,156,127,98,69,2023,mj
IY,250.0,"32, 42, 98",213,186,159,125,91,57,2023,mj
IZ,250.0,"33, 43, 99",215,188,161,131,101,71,2023,mj
KX,250.0,"31, 61, 97",213,186,159,129,99,69,2023,mj
KY,250.0,"32, 62, 98",211,187,163,129,96,63,2023,mj
KZ,250.0,"33, 63, 99",215,188,161,132,103,74,2023,mj
P2,75.0,58,–,66,61,53,46,39,2023,mj
P3,75.0,59,–,64,59,49,39,30,2023,mj
P4,150.0,"59, 60",138,128,118,101,84,67,2023,mj
P6,150.0,"68, 80",135,121,102,90,79,68,2023,mj
P8,150.0,"69, 81",135,120,105,93,81,69,2023,mj
S1,125.0,"11, 21",–,83,71,56,42,28,2023,mj
S2,125.0,"11, 41",–,86,74,59,44,30,2023,mj
S3,125.0,"11, 51",–,85,73,57,42,27,2023,mj
S4,125.0,"12, 22",–,89,70,53,36,19,2023,mj
S5,125.0,"12, 42",–,87,70,54,38,23,2023,mj
S6,125.0,"12, 52",–,87,71,54,38,22,2023,mj
S7,125.0,"13, 23",–,102,83,63,44,25,2023,mj
S8,125.0,"13, 43",–,100,84,65,46,28,2023,mj
S9,125.0,"13, 53",–,102,87,67,48,29,2023,mj
AX,250.0,"11, 31, 41, 51",215,188,161,131,101,72,2022,on
AY,250.0,"12, 32, 42, 52",214,188,162,128,94,60,2022,on
AZ,250.0,"13, 33, 43, 53",207,180,153,124,96,68,2022,on
CX,250.0,"11, 31, 51, 61",222,194,165,135,106,77,2022,on
CY,250.0,"12, 32, 52, 62",216,191,166,132,98,64,2022,on
CZ,250.0,"13, 33, 53, 63",218,190,162,133,104,75,2022,on
DX,250.0,"31, 51, 84",213,187,161,131,102,73,2022,on
DXJ,125.0,"31, 51",110,96,76,56,37,18,2022,on
DY,250.0,"32, 52, 85",214,184,154,120,87,54,2022,on
DYJ,125.0,"32, 52",108,92,71,51,32,13,2022,on
DZ,250.0,"33, 53, 86",219,191,163,133,103,74,2022,on
DZJ,125.0,"33, 53",109,94,73,54,35,16,2022,on
EY,250.0,"32, 42, 88",213,182,151,118,85,52,2022,on
EYJ,125.0,"32, 42",108,91,69,50,31,13,2022,on
EZ,250.0,"33, 43, 89",211,183,155,126,97,69,2022,on
EZJ,125.0,"33, 43",105,86,66,48,31,14,2022,on
GX,250.0,"31, 61, 87",216,190,164,134,104,74,2022,on
GXJ,125.0,"31, 61",111,97,76,57,38,19,2022,on
GY,250.0,"32, 62, 88",215,185,155,122,89,56,2022,on
GYJ,125.0,"32, 62",109,94,73,53,34,15,2022,on
GZ,250.0,"33, 63, 89",221,193,164,134,105,76,2022,on
GZJ,125.0,"33, 63",110,96,74,56,38,20,2022,on
HY,250.0,"32, 52, 95",201,172,143,110,77,45,2022,on
HYN,125.0,"32, 52",108,92,71,51,32,13,2022,on
HZ,250.0,"33, 53, 96",210,182,154,123,93,63,2022,on
HZN,125.0,"33, 53",109,94,73,54,35,16,2022,on
IY,250.0,"32, 42, 98",211,180,149,114,80,46,2022,on
IYN,125.0,"32, 42",108,91,69,50,31,13,2022,on
IZ,250.0,"33, 43, 99",206,179,152,123,94,66,2022,on
IZN,125.0,"33, 43",105,86,66,48,31,14,2022,on
KX,250.0,"31, 61, 97",212,184,156,125,94,63,2022,on
KXN,125.0,"31, 61",111,97,76,57,38,19,2022,on
KY,250.0,"32, 62, 98",213,183,153,118,84,50,2022,on
KYN,125.0,"32, 62",109,94,73,53,34,15,2022,on
KZ,250.0,"33, 63, 99",217,189,161,131,102,73,2022,on
KZN,125.0,"33, 63",110,96,74,56,38,20,2022,on
OV,250.0,"32, 52, 75",216,188,160,127,94,61,2022,on
OVM,125.0,"32, 52",108,92,71,51,32,13,2022,on
P2,75.0,58,–,51,42,33,24,15,2022,on
P3,75.0,59,–,50,44,35,26,18,2022,on
PV,250.0,"32, 42, 78",212,183,154,122,90,59,2022,on
PVM,125.0,"32, 42",108,91,69,50,31,13,2022,on
RV,250.0,"32, 62, 78",214,186,158,126,94,63,2022,on
RVM,125.0,"32, 62",109,94,73,53,34,15,2022,on
S1,125.0,"11, 21",–,96,81,64,48,32,2022,on
S2,125.0,"11, 41",–,91,76,61,46,32,2022,on
S3,125.0,"11, 51",–,96,80,65,50,36,2022,on
S4,125.0,"12, 22",–,101,89,69,49,29,2022,on
S5,125.0,"12, 42",–,95,82,64,46,28,2022,on
S6,125.0,"12, 52",–,96,84,65,46,27,2022,on
S7,125.0,"13, 23",–,94,81,64,48,32,2022,on
S8,125.0,"13, 43",–,85,71,57,43,30,2022,on
S9,125.0,"13, 53",–,93,79,64,49,34,2022,on
AY,250.0,"12, 32, 42, 52",226,203,180,150,121,92,2024,fm
CY,250.0,"12, 32, 52, 62",228,207,184,154,124,95,2024,fm
DY,250.0,"32, 52, 85",217,189,161,130,99,69,2024,fm
EY,250.0,"32, 42, 88",211,183,155,125,95,65,2024,fm
GY,250.0,"32, 62, 88",215,187,159,128,98,68,2024,fm
HY,250.0,"32, 52, 95",220,196,172,138,104,71,2024,fm
IY,250.0,"32, 42, 98",216,191,166,134,102,70,2024,fm
KY,250.0,"32, 62, 98",220,195,170,137,105,73,2024,fm
OV,250.0,"32, 52, 75",224,199,173,142,111,80,2024,fm
PV,250.0,"32, 42, 78",219,192,165,136,107,79,2024,fm
RV,250.0,"32, 62, 78",223,196,169,140,111,82,2024,fm
S4,125.0,"12, 22",–,103,93,77,62,47,2024,fm
S5,125.0,"12, 42",–,101,89,74,60,46,2024,fm
S6,125.0,"12, 52",–,107,96,80,64,49,2024,fm
AY,,"12, 32, 42, 52",218,188,158,125,93,61,2022,fm
CY,,"12, 32, 52, 62",213,184,155,123,91,60,2022,fm
DYJ,,"32, 52",108,92,69,50,31,13,2022,fm
EY,,"32, 42, 88",218,188,158,125,93,61,2022,fm
EYJ,,"32, 42",110,96,72,52,32,13,2022,fm
GY,,"32, 62, 88",213,184,155,123,91,60,2022,fm
GYJ,,"32, 62",108,92,70,51,32,13,2022,fm
HY,,"32, 52, 95",203,172,141,109,77,45,2022,fm
IY,,"32, 42, 98",217,185,153,118,83,48,2022,fm
KY,,"32, 62, 98",212,181,150,115,81,47,2022,fm
