option,combination of components,a*,a,b,c,d,e,year,month,maximum mark after weighting,unnamed: 4
CR2,"42, 52, 99",196,165,134,111,89,67,2024,mj,260,
CX1,"41, 51, 94",196,166,136,113,90,67,2024,mj,260,
CY1,"42, 52, 95",199,168,137,112,87,63,2024,mj,260,
CY2,"42, 52, 98",196,166,136,111,86,61,2024,mj,260,
HX,"11, 21, 32, 41, 51",193,167,141,114,87,61,2024,mj,260,
HY,"12, 22, 34, 42, 52",197,165,133,108,83,58,2024,mj,260,
S1,"11, 21, 31",–,83,72,58,45,32,2024,mj,130,
S2,"11, 21, 32",–,84,72,58,45,32,2024,mj,130,
S3,"12, 22, 33",–,84,66,54,42,30,2024,mj,130,
S4,"12, 22, 34",–,82,65,53,41,29,2024,mj,130,
S5,"13, 23, 35",–,86,69,56,44,32,2024,mj,130,
AC,"14, 24, 37, 44, 54",206,177,148,122,96,71,2025,mj,260,
AX,"11, 21, 31, 41, 51",202,176,150,122,95,68,2025,mj,260,
AY,"12, 22, 33, 42, 52",206,174,142,117,92,68,2025,mj,260,
AW,"12, 22, 33, 41, 52",202,175,148,122,96,71,2025,mj,260,
AZ,"13, 23, 35, 43, 53",204,179,154,126,98,70,2025,mj,260,
BN1,"44, 54, 85",208,176,144,118,92,66,2025,mj,260,
BN2,"44, 54, 88",205,174,143,117,91,65,2025,mj,260,
BX1,"41, 51, 84",195,172,149,121,94,67,2025,mj,260,
BX2,"41, 51, 87",197,173,149,121,94,67,2025,mj,260,
BY1,"42, 52, 85",210,175,140,114,88,63,2025,mj,260,
BY2,"42, 52, 88",207,173,139,113,87,62,2025,mj,260,
BW1,"41, 52, 85",206,176,146,119,92,66,2025,mj,260,
BW2,"41, 52, 88",203,174,145,118,91,65,2025,mj,260,
BZ1,"43, 53, 86",204,175,146,119,93,67,2025,mj,260,
CN1,"44, 54, 96",207,178,149,125,101,77,2025,mj,260,
CN2,"44, 54, 99",210,180,150,125,101,77,2025,mj,260,
CP1,"43, 53, 94",202,175,148,124,100,76,2025,mj,260,
CQ1,"41, 51, 95",195,171,147,122,97,72,2025,mj,260,
CQ2,"41, 51, 98",198,174,150,125,100,75,2025,mj,260,
CR1,"42, 52, 96",209,177,145,121,97,74,2025,mj,260,
CR2,"42, 52, 99",212,179,146,122,98,74,2025,mj,260,
CW1,"41, 52, 96",205,178,151,126,101,77,2025,mj,260,
CW2,"41, 52, 99",208,180,152,127,102,77,2025,mj,260,
CX1,"41, 51, 94",202,175,148,124,100,76,2025,mj,260,
CY1,"42, 52, 95",202,173,144,119,94,70,2025,mj,260,
CY2,"42, 52, 98",205,176,147,122,97,73,2025,mj,260,
HC,"14, 24, 38, 44, 54",209,179,149,123,97,71,2025,mj,260,
HX,"11, 21, 32, 41, 51",201,175,149,121,94,67,2025,mj,260,
HY,"12, 22, 34, 42, 52",209,176,143,118,93,68,2025,mj,260,
HW,"12, 22, 34, 41, 52",205,177,149,123,97,71,2025,mj,260,
P1,50,–,55,45,39,33,28,2025,mj,75,
S1,"11, 21, 31",–,87,73,59,46,33,2025,mj,130,
S2,"11, 21, 32",–,86,72,58,45,32,2025,mj,130,
S3,"12, 22, 33",–,83,68,57,46,35,2025,mj,130,
S4,"12, 22, 34",–,85,69,57,46,35,2025,mj,130,
S5,"13, 23, 35",–,90,77,63,49,35,2025,mj,130,
S7,"14, 24, 37",–,85,70,58,46,35,2025,mj,130,
S8,"14, 24, 38",–,87,71,59,47,35,2025,mj,130,
AZ,"13, 23, 35, 43, 53",179,156,133,109,85,62,2022,on,260,
BS1,"41, 51, 86",172,150,128,102,77,52,2022,on,260,
BT1,"42, 52, 84",174,150,126,101,76,51,2022,on,260,
BT2,"42, 52, 87",174,150,126,101,76,51,2022,on,260,
BTJ,"42, 52",88,75,62,45,29,13,2022,on,130,
BU1,"43, 53, 85",175,151,127,102,77,52,2022,on,260,
BU2,"43, 53, 88",177,152,127,102,77,52,2022,on,260,
BX1,"41, 51, 84",173,151,129,103,77,52,2022,on,260,
BY1,"42, 52, 85",176,150,124,99,75,51,2022,on,260,
BY2,"42, 52, 88",178,151,124,99,75,51,2022,on,260,
BZ1,"43, 53, 86",172,150,128,102,77,52,2022,on,260,
CY1,"42, 52, 95",172,150,128,103,78,54,2022,on,260,
CY2,"42, 52, 98",171,149,127,102,78,54,2022,on,260,
CYN,"42, 52",88,75,62,45,29,13,2022,on,130,
CZ1,"43, 53, 96",168,148,128,104,80,57,2022,on,260,
CZ2,"43, 53, 99",167,147,127,103,79,56,2022,on,260,
CZN,"43, 53",87,76,65,48,31,14,2022,on,130,
EV,"42, 52, 75",177,156,135,110,85,61,2022,on,260,
HY,"12, 22, 34, 42, 52",176,152,128,103,79,55,2022,on,260,
HZ,"13, 23, 36, 43, 53",179,156,133,109,85,61,2022,on,260,
P1,50,–,54,44,34,24,15,2022,on,75,
S1,"11, 21, 31",–,77,62,52,42,33,2022,on,130,
S3,"12, 22, 33",–,75,61,50,39,28,2022,on,130,
S4,"12, 22, 34",–,74,60,49,38,27,2022,on,130,
S5,"13, 23, 35",–,77,62,52,42,33,2022,on,130,
S6,"13, 23, 36",–,77,62,52,42,32,2022,on,130,
AY (AY1),"12, 22, 33, 42, 52",190,166,142,116,90,65,2023,on,260,
AY (AY2),"12, 22, 33",–,85,69,57,45,34,2023,on,130,
AZ (AZ1),"13, 23, 35, 43, 53",191,167,143,119,95,72,2023,on,260,
AZ (AZ2),"13, 23, 35",–,83,67,57,47,38,2023,on,130,
BT (BT1),"42, 52, 84",184,163,142,116,90,65,2023,on,260,
BT (BT2),"42, 52, 87",184,163,142,116,90,64,2023,on,260,
BU (BU1),"43, 53, 85",192,164,136,111,86,62,2023,on,260,
BU (BU2),"43, 53, 88",192,164,136,111,86,62,2023,on,260,
BX (BX1),"41, 51, 84",187,166,145,119,93,68,2023,on,260,
BX (BX2),"41, 51, 87",187,166,145,119,93,67,2023,on,260,
BY (BY1),"42, 52, 85",189,161,133,108,83,59,2023,on,260,
BY (BY2),"42, 52, 88",189,161,133,108,83,59,2023,on,260,
BZ (BZ1),"43, 53, 86",186,164,142,117,92,67,2023,on,260,
CY (CY1),"42, 52, 95",178,156,134,109,84,59,2023,on,260,
CY (CY2),"42, 52, 98",177,155,133,108,83,58,2023,on,260,
CZ (CZ1),"43, 53, 96",184,161,138,114,90,67,2023,on,260,
CZ (CZ2),"43, 53, 99",184,161,138,114,90,66,2023,on,260,
DV (DV1) DV (DV2),"12, 22, 33, 42, 52 42, 52, 75",190 181,166 164,142 147,116 121,90 95,65 70,2023,on,260 260,
DV (DV3),"42, 52, 85",189,161,133,108,83,59,2023,on,260,
DV (DV4),"42, 52, 88",189,161,133,108,83,59,2023,on,260,
DV (DV5),"42, 52, 95",178,156,134,109,84,59,2023,on,260,
DV (DV6),"42, 52, 98",177,155,133,108,83,58,2023,on,260,
DV (DV7),"12, 22, 33",–,85,69,57,45,34,2023,on,130,
DY (DY1),"12, 22, 33, 42, 52",190,166,142,116,90,65,2023,on,260,
DY (DY2),"42, 52, 85",189,161,133,108,83,59,2023,on,260,
DY (DY3),"42, 52, 88",189,161,133,108,83,59,2023,on,260,
DY (DY4),"42, 52, 95",178,156,134,109,84,59,2023,on,260,
DY (DY5),"42, 52, 98",177,155,133,108,83,58,2023,on,260,
DY (DY6),"12, 22, 33",–,85,69,57,45,34,2023,on,130,
DZ (DZ1),"13, 23, 35, 43, 53",191,167,143,119,95,72,2023,on,260,
DZ (DZ2),"43, 53, 86",186,164,142,117,92,67,2023,on,260,
DZ (DZ4),"43, 53, 96",184,161,138,114,90,67,2023,on,260,
DZ (DZ5),"43, 53, 99",184,161,138,114,90,66,2023,on,260,
DZ (DZ6),"13, 23, 35",–,83,67,57,47,38,2023,on,130,
EV,"42, 52, 75",181,164,147,121,95,70,2023,on,260,
GT (GT1),"12, 22, 33, 42,",190,166,142,116,90,65,2023,on,260,
,52,,,,,,,2023,on,,
GT (GT2),"42, 52, 84",184,163,142,116,90,65,2023,on,260,
GT (GT3),"42, 52, 87",184,163,142,116,90,64,2023,on,260,
GT (GT4),"42, 52, 95",178,156,134,109,84,59,2023,on,260,
GT (GT5),"42, 52, 98",177,155,133,108,83,58,2023,on,260,
GT (GT6),"12, 22, 33",–,85,69,57,45,34,2023,on,130,
GU (GU1),"13, 23, 35, 43,",191,167,143,119,95,72,2023,on,260,
,53,,,,,,,2023,on,,
GU (GU2),"43, 53, 85",192,164,136,111,86,62,2023,on,260,
GU (GU3),"43, 53, 88",192,164,136,111,86,62,2023,on,260,
GU (GU4),"43, 53, 96",184,161,138,114,90,67,2023,on,260,
GU (GU5),"43, 53, 99",184,161,138,114,90,66,2023,on,260,
GU (GU6),"13, 23, 35",–,83,67,57,47,38,2023,on,130,
HY (HY1),"12, 22, 34, 42,",187,164,141,115,89,63,2023,on,260,
,52,,,,,,,2023,on,,
HY (HY2),"12, 22, 34",–,83,68,56,44,32,2023,on,130,
HZ (HZ1),"13, 23, 36, 43,",190,166,142,118,95,72,2023,on,260,
,53,,,,,,,2023,on,,
HZ (HZ2),"13, 23, 36",–,82,66,56,47,38,2023,on,130,
IV (IV1),"12, 22, 34, 42,",187,164,141,115,89,63,2023,on,260,
,52,,,,,,,2023,on,,
IV (IV2),"42, 52, 75",181,164,147,121,95,70,2023,on,260,
IV (IV3),"42, 52, 85",189,161,133,108,83,59,2023,on,260,
IV (IV4),"42, 52, 88",189,161,133,108,83,59,2023,on,260,
IV (IV5),"42, 52, 95",178,156,134,109,84,59,2023,on,260,
IV (IV6),"42, 52, 98",177,155,133,108,83,58,2023,on,260,
IV (IV7),"12, 22, 34",–,83,68,56,44,32,2023,on,130,
IY (IY1),"12, 22, 34, 42,",187,164,141,115,89,63,2023,on,260,
,52,,,,,,,2023,on,,
IY (IY2),"42, 52, 85",189,161,133,108,83,59,2023,on,260,
IY (IY3),"42, 52, 88",189,161,133,108,83,59,2023,on,260,
IY (IY4),"42, 52, 95",178,156,134,109,84,59,2023,on,260,
IY (IY5),"42, 52, 98",177,155,133,108,83,58,2023,on,260,
IY (IY6),"12, 22, 34",–,83,68,56,44,32,2023,on,130,
IZ (IZ1),"13, 23, 36, 43, 53",190,166,142,118,95,72,2023,on,260,
