option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
AX,200,"01, 21, 31, 41",163,148,133,117,101,86,2023,mj
AY,200,"01, 22, 32, 42",163,147,131,116,101,86,2023,mj
AZ,200,"01, 23, 33, 43",163,147,131,116,101,86,2023,mj
P2,75,60,63,54,45,36,27,18,2023,mj
AX (AX1),200,"01, 21, 31, 41",156,141,126,109,93,77,2022,mj
AY (AY1),200,"01, 22, 32, 42",156,140,124,108,93,78,2022,mj
AZ (AZ1),200,"01, 23, 33, 43",156,140,124,108,93,78,2022,mj
P1,150,50,120,102,84,66,48,30,2022,mj
AX,200,"01, 21, 31, 41",156,141,126,109,93,77,2022,on
AY,200,"01, 22, 32, 42",156,141,126,109,93,77,2022,on
AZ,200,"01, 23, 33, 43",156,141,126,109,93,77,2022,on
AX,200,"01, 21, 31, 41",159,144,129,114,99,84,2023,on
AY,200,"01, 22, 32, 42",159,144,129,114,99,84,2023,on
AZ,200,"01, 23, 33, 43",159,144,129,114,99,84,2023,on
