option,maximum mark after weighting,combination of components,a,b,c,d,e,year,month
SY,160,"04, 12, 22, 32",124,112,98,85,72,2025,mj
SZ,160,"04, 13, 23, 33",124,112,98,85,72,2025,mj
SY,160,"04, 12, 22, 32",125,113,98,84,70,2025,on
SZ,160,"04, 13, 23, 33",121,109,95,82,69,2025,on
