option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
BT1,260.0,"42, 52, 84",205,183,161,135,109,84,2023,on
BT2,260.0,"42, 52, 87",204,184,164,138,112,86,2023,on
BU1,260.0,"43, 53, 85",216,193,170,144,118,93,2023,on
BU2,260.0,"43, 53, 88",214,192,170,144,119,94,2023,on
BX2,260.0,"41, 51, 87",204,184,164,138,112,86,2023,on
BY1,260.0,"42, 52, 85",211,188,165,137,109,81,2023,on
BY2,260.0,"42, 52, 88",209,187,165,137,109,82,2023,on
BZ1,260.0,"43, 53, 86",211,189,167,143,119,95,2023,on
CY1,260.0,"42, 52, 95",196,173,150,123,96,70,2023,on
CY2,260.0,"42, 52, 98",197,175,153,126,99,72,2023,on
CZ1,260.0,"43, 53, 96",203,181,159,136,113,90,2023,on
CZ2,260.0,"43, 53, 99",201,179,157,134,111,89,2023,on
EV,260.0,"42, 52, 75",204,183,162,135,108,82,2023,on
HY,260.0,"12, 22, 34, 42, 52",209,185,161,134,107,80,2023,on
HZ,260.0,"13, 23, 36, 43, 53",219,195,171,146,121,96,2023,on
P1,75.0,50,–,59,53,44,36,28,2023,on
S1,130.0,"11, 21, 31",–,97,83,70,57,44,2023,on
S3,130.0,"12, 22, 33",–,95,81,68,55,43,2023,on
S4,130.0,"12, 22, 34",–,94,80,67,55,43,2023,on
S5,130.0,"13, 23, 35",–,99,84,71,58,46,2023,on
S6,130.0,"13, 23, 36",–,99,85,72,59,47,2023,on
AY,260.0,"12, 22, 33, 42, 52",208,186,164,138,112,87,2025,fm
BY1,260.0,"42, 52, 85",212,186,160,132,105,78,2025,fm
BY2,260.0,"42, 52, 88",213,187,161,134,107,80,2025,fm
CY1,260.0,"42, 52, 95",211,184,157,131,106,81,2025,fm
CY2,260.0,"42, 52, 98",210,184,158,133,108,83,2025,fm
EV,260.0,"42, 52, 75",212,190,168,142,117,92,2025,fm
S3,130.0,"12, 22, 33",–,99,90,78,66,54,2025,fm
AX,260.0,"11, 21, 31, 41, 51",205,177,149,124,99,75,2023,mj
AY,260.0,"12, 22, 33, 42, 52",209,180,151,124,97,71,2023,mj
AZ,260.0,"13, 23, 35, 43, 53",206,178,150,124,99,74,2023,mj
BX1,260.0,"41, 51, 84",204,174,144,117,91,65,2023,mj
BX2,260.0,"41, 51, 87",204,174,144,117,91,65,2023,mj
BY1,260.0,"42, 52, 85",201,171,141,113,86,59,2023,mj
BY2,260.0,"42, 52, 88",201,171,141,114,87,60,2023,mj
BZ1,260.0,"43, 53, 86",204,173,142,115,88,62,2023,mj
CP1,260.0,"43, 53, 94",197,169,141,114,88,62,2023,mj
CQ1,260.0,"41, 51, 95",196,167,138,112,86,61,2023,mj
CQ2,260.0,"41, 51, 98",197,169,141,115,89,63,2023,mj
CR1,260.0,"42, 52, 96",196,168,140,116,92,68,2023,mj
CR2,260.0,"42, 52, 99",194,166,138,114,90,67,2023,mj
CX1,260.0,"41, 51, 94",197,169,141,114,88,62,2023,mj
