id,pdf_links,subject_code,month,month_id,year
9395_on_2025,https://www.cambridgeinternational.org/Images/749737-travel-and-tourism-9395-november-2025-grade-threshold-table.pdf,9395,november,on,2025
9686_on_2025,https://www.cambridgeinternational.org/Images/749738-urdu-a-level-9686-november-2025-grade-threshold-table.pdf,9686,november,on,2025
8686_on_2025,https://www.cambridgeinternational.org/Images/749752-urdu-language-as-level-8686-november-2025-grade-threshold-table.pdf,8686,november,on,2025
9706_mj_2025,https://www.cambridgeinternational.org/Images/740281-accounting-9706-june-2025-grade-threshold-table.pdf,9706,june,mj,2025
9680_mj_2025,https://www.cambridgeinternational.org/Images/740282-arabic-a-level-9680-june-2025-grade-threshold-table.pdf,9680,june,mj,2025
8680_mj_2025,https://www.cambridgeinternational.org/Images/740283-arabic-language-as-level-8680-june-2025-grade-threshold-table.pdf,8680,june,mj,2025
9479_mj_2025,https://www.cambridgeinternational.org/Images/740284-art-design-9479-june-2025-grade-threshold-table.pdf,9479,june,mj,2025
9484_mj_2025,https://www.cambridgeinternational.org/Images/740285-biblical-studies-9484-june-2025-grade-threshold-table.pdf,9484,june,mj,2025
9700_mj_2025,https://www.cambridgeinternational.org/Images/740286-biology-9700-june-2025-grade-threshold-table.pdf,9700,june,mj,2025
9609_mj_2025,https://www.cambridgeinternational.org/Images/740287-business-9609-june-2025-grade-threshold-table.pdf,9609,june,mj,2025
9980_mj_2025,https://www.cambridgeinternational.org/Images/740288-cambridge-international-project-9980-june-2025-grade-threshold-table.pdf,9980,june,mj,2025
9701_mj_2025,https://www.cambridgeinternational.org/Images/740289-chemistry-9701-june-2025-grade-threshold-table.pdf,9701,june,mj,2025
9868_mj_2025,https://www.cambridgeinternational.org/Images/740312-chinese-language-and-literature-a-level-9868-june-2025-grade-threshold-table.pdf,9868,june,mj,2025
8238_mj_2025,https://www.cambridgeinternational.org/Images/740313-chinese-language-as-level-8238-june-2025-grade-threshold-table.pdf,8238,june,mj,2025
9618_mj_2025,https://www.cambridgeinternational.org/Images/740314-computer-science-9618-june-2025-grade-threshold-table.pdf,9618,june,mj,2025
9705_mj_2025,https://www.cambridgeinternational.org/Images/740315-design-and-technology-9705-june-2025-grade-threshold-table.pdf,9705,june,mj,2025
9481_mj_2025,https://www.cambridgeinternational.org/Images/740316-digital-media-design-9481-june-2025-grade-threshold-table.pdf,9481,june,mj,2025
9482_mj_2025,https://www.cambridgeinternational.org/Images/740317-drama-9482-june-2025-grade-threshold-table.pdf,9482,june,mj,2025
9708_mj_2025,https://www.cambridgeinternational.org/Images/740318-economics-9708-june-2025-grade-threshold-table.pdf,9708,june,mj,2025
8021_mj_2025,https://www.cambridgeinternational.org/Images/740319-english-general-paper-as-level-8021-june-2025-grade-threshold-table.pdf,8021,june,mj,2025
9093_mj_2025,https://www.cambridgeinternational.org/Images/740320-english-language-9093-june-2025-grade-threshold-table.pdf,9093,june,mj,2025
8291_mj_2025,https://www.cambridgeinternational.org/Images/740321-environmental-management-as-level-8291-june-2025-grade-threshold-table.pdf,8291,june,mj,2025
9898_mj_2025,https://www.cambridgeinternational.org/Images/740324-a-level-french-language-literature-9898-june-2025-grade-threshold-table.pdf,9898,june,mj,2025
8028_mj_2025,https://www.cambridgeinternational.org/Images/740323-as-level-french-language-8028-june-2025-grade-threshold-table.pdf,8028,june,mj,2025
9231_mj_2025,https://www.cambridgeinternational.org/Images/740325-further-mathematics-a-level-9231-june-2025-grade-threshold-table.pdf,9231,june,mj,2025
9696_mj_2025,https://www.cambridgeinternational.org/Images/740327-geography-9696-june-2025-grade-threshold-table.pdf,9696,june,mj,2025
9897_mj_2025,https://www.cambridgeinternational.org/Images/740328-german-language-literature-9897-a-level-june-2025-grade-threshold-table.pdf,9897,june,mj,2025
8027_mj_2025,https://www.cambridgeinternational.org/Images/740329-german-language-8027-as-level-june-2025-grade-threshold-table.pdf,8027,june,mj,2025
9239_mj_2025,https://www.cambridgeinternational.org/Images/740330-global-perspectives-research-9239-june-2025-grade-threshold-table.pdf,9239,june,mj,2025
9487_mj_2025,https://www.cambridgeinternational.org/Images/740332-hinduism-9487-june-2025-grade-threshold-table.pdf,9487,june,mj,2025
9489_mj_2025,https://www.cambridgeinternational.org/Images/740333-history-9489-june-2025-grade-threshold-table.pdf,9489,june,mj,2025
9626_mj_2025,https://www.cambridgeinternational.org/Images/740334-information-technology-9626-june-2025-grade-threshold-table.pdf,9626,june,mj,2025
9488_mj_2025,https://www.cambridgeinternational.org/Images/740335-islamic-studies-9488-june-2025-grade-threshold-table.pdf,9488,june,mj,2025
8695_mj_2025,https://www.cambridgeinternational.org/Images/740336-language-and-literature-in-english-as-level-8695-june-2025-grade-threshold-table.pdf,8695,june,mj,2025
9084_mj_2025,https://www.cambridgeinternational.org/Images/740337-law-9084-june-2025-grade-threshold-table.pdf,9084,june,mj,2025
9695_mj_2025,https://www.cambridgeinternational.org/Images/740338-literature-in-english-9695-june-2025-grade-threshold-table.pdf,9695,june,mj,2025
9693_mj_2025,https://www.cambridgeinternational.org/Images/740339-marine-science-9693-june-2025-grade-threshold-table.pdf,9693,june,mj,2025
9709_mj_2025,https://www.cambridgeinternational.org/Images/740340-mathematics-9709-june-2025-grade-threshold-table.pdf,9709,june,mj,2025
9607_mj_2025,https://www.cambridgeinternational.org/Images/740341-media-studies-9607-june-2025-grade-threshold-table.pdf,9607,june,mj,2025
9483_mj_2025,https://www.cambridgeinternational.org/Images/740342-music-a-level-9483-june-2025-grade-threshold-table.pdf,9483,june,mj,2025
9702_mj_2025,https://www.cambridgeinternational.org/Images/740343-physics-9702-june-2025-grade-threshold-table.pdf,9702,june,mj,2025
9718_mj_2025,https://www.cambridgeinternational.org/Images/740344-portuguese-a-level-9718-june-2025-grade-threshold-table.pdf,9718,june,mj,2025
8684_mj_2025,https://www.cambridgeinternational.org/Images/740345-portuguese-language-as-level-8684-june-2025-grade-threshold-table.pdf,8684,june,mj,2025
9990_mj_2025,https://www.cambridgeinternational.org/Images/740347-psychology-9990-june-2025-grade-threshold-table.pdf,9990,june,mj,2025
9699_mj_2025,https://www.cambridgeinternational.org/Images/740348-sociology-9699-june-2025-grade-threshold-table.pdf,9699,june,mj,2025
9844_mj_2025,https://www.cambridgeinternational.org/Images/740349-spanish-language-and-literature-a-level-9844-june-2025-grade-threshold-table.pdf,9844,june,mj,2025
8022_mj_2025,https://www.cambridgeinternational.org/Images/740350-spanish-language-as-level-8022-june-2025-grade-threshold-table.pdf,8022,june,mj,2025
8386_mj_2025,https://www.cambridgeinternational.org/Images/740351-sport-physical-education-as-level-8386-june-2025-grade-threshold-table.pdf,8386,june,mj,2025
9689_mj_2025,https://www.cambridgeinternational.org/Images/740352-tamil-a-level-9689-june-2025-grade-threshold-table.pdf,9689,june,mj,2025
8689_mj_2025,https://www.cambridgeinternational.org/Images/740353-tamil-language-as-level-8689-june-2025-grade-threshold-table.pdf,8689,june,mj,2025
9694_mj_2025,https://www.cambridgeinternational.org/Images/740354-thinking-skills-9694-june-2025-grade-threshold-table.pdf,9694,june,mj,2025
9395_mj_2025,https://www.cambridgeinternational.org/Images/740355-travel-and-tourism-9395-june-2025-grade-threshold-table.pdf,9395,june,mj,2025
9686_mj_2025,https://www.cambridgeinternational.org/Images/740357-urdu-a-level-9686-june-2025-grade-threshold-table.pdf,9686,june,mj,2025
8686_mj_2025,https://www.cambridgeinternational.org/Images/740358-urdu-language-as-level-8686-june-2025-grade-threshold-table.pdf,8686,june,mj,2025
9706_fm_2025,https://www.cambridgeinternational.org/Images/735043-accounting-9706-march-2025-grade-threshold-table.pdf,9706,march,fm,2025
9479_fm_2025,https://www.cambridgeinternational.org/Images/735034-art-design-9479-march-2025-grade-threshold-table.pdf,9479,march,fm,2025
9700_fm_2025,https://www.cambridgeinternational.org/Images/735040-biology-9700-march-2025-grade-threshold-table.pdf,9700,march,fm,2025
9609_fm_2025,https://www.cambridgeinternational.org/Images/735036-business-9609-march-2025-grade-threshold-table.pdf,9609,march,fm,2025
9980_fm_2025,https://www.cambridgeinternational.org/Images/735046-cambridge-international-project-qualification-9980-march-2025-grade-threshold-table.pdf,9980,march,fm,2025
9701_fm_2025,https://www.cambridgeinternational.org/Images/735041-chemistry-9701-march-2025-grade-threshold-table.pdf,9701,march,fm,2025
9708_fm_2025,https://www.cambridgeinternational.org/Images/735044-economics-9708-march-2025-grade-threshold-table.pdf,9708,march,fm,2025
8021_fm_2025,https://www.cambridgeinternational.org/Images/735031-english-general-paper-8021-march-2025-grade-threshold-table.pdf,8021,march,fm,2025
9093_fm_2025,https://www.cambridgeinternational.org/Images/735032-english-language-9093-march-2025-grade-threshold-table.pdf,9093,march,fm,2025
9695_fm_2025,https://www.cambridgeinternational.org/Images/735038-english-literature-9695-march-2025-grade-threshold-table.pdf,9695,march,fm,2025
9239_fm_2025,https://www.cambridgeinternational.org/Images/735033-global-perspectives-research-9239-march-2025-grade-threshold-table.pdf,9239,march,fm,2025
9489_fm_2025,https://www.cambridgeinternational.org/Images/735035-history-9489-march-2025-grade-threshold-table.pdf,9489,march,fm,2025
9626_fm_2025,https://www.cambridgeinternational.org/Images/735037-information-technology-9626-march-2025-grade-threshold-table.pdf,9626,march,fm,2025
9709_fm_2025,https://www.cambridgeinternational.org/Images/735045-mathematics-9709-march-2025-grade-threshold-table.pdf,9709,march,fm,2025
9702_fm_2025,https://www.cambridgeinternational.org/Images/735042-physics-9702-march-2025-grade-threshold-table.pdf,9702,march,fm,2025
9990_fm_2025,https://www.cambridgeinternational.org/Images/735047-psychology-9990-march-2025-grade-threshold-table.pdf,9990,march,fm,2025
9699_fm_2025,https://www.cambridgeinternational.org/Images/735039-sociology-9699-march-2025-grade-threshold-table.pdf,9699,march,fm,2025
9706_on_2024,https://www.cambridgeinternational.org/Images/727969-accounting-9706-november-2024-grade-threshold-table.pdf,9706,november,on,2024
8679_on_2024,https://www.cambridgeinternational.org/Images/727970-afrikaans-as-level-8679-november-2024-grade-theshold-table.pdf,8679,november,on,2024
9680_on_2024,https://www.cambridgeinternational.org/Images/727971-arabic-a-level-9680-november-2024-grade-threshold-table.pdf,9680,november,on,2024
8680_on_2024,https://www.cambridgeinternational.org/Images/727972-arabic-language-as-level-8680-november-2024-grade-threshold-table.pdf,8680,november,on,2024
9479_on_2024,https://www.cambridgeinternational.org/Images/727973-art-and-design-9479-november-2024-grade-threshold-table.pdf,9479,november,on,2024
9484_on_2024,https://www.cambridgeinternational.org/Images/727974-biblical-studies-9484-november-2024-grade-threshold-table.pdf,9484,november,on,2024
9700_on_2024,https://www.cambridgeinternational.org/Images/727975-biology-9700-november-2024-grade-threshold-table.pdf,9700,november,on,2024
9609_on_2024,https://www.cambridgeinternational.org/Images/727976-business-9609-november-2024-grade-threshold-table.pdf,9609,november,on,2024
9701_on_2024,https://www.cambridgeinternational.org/Images/727977-chemistry-9701-november-2024-grade-threshold-table.pdf,9701,november,on,2024
9868_on_2024,https://www.cambridgeinternational.org/Images/728080-chinese-language-and-literature-a-level-9868-november-2024-grade-threshold-table.pdf,9868,november,on,2024
8238_on_2024,https://www.cambridgeinternational.org/Images/728032-chinese-language-as-level-8238-november-2024-grade-threshold-table.pdf,8238,november,on,2024
9274_on_2024,https://www.cambridgeinternational.org/Images/727980-classical-studies-9274-november-2024-grade-threshold-table.pdf,9274,november,on,2024
9618_on_2024,https://www.cambridgeinternational.org/Images/727981-computer-science-9618-november-2024-grade-threshold-table.pdf,9618,november,on,2024
9705_on_2024,https://www.cambridgeinternational.org/Images/727982-design-and-technology-9705-november-2024-grade-threshold-table.pdf,9705,november,on,2024
9481_on_2024,https://www.cambridgeinternational.org/Images/727984-digital-media-design-9481-november-2024-grade-threshold-table.pdf,9481,november,on,2024
9482_on_2024,https://www.cambridgeinternational.org/Images/727985-drama-9482-november-2024-grade-threshold-table.pdf,9482,november,on,2024
9708_on_2024,https://www.cambridgeinternational.org/Images/727986-economics-9708-november-2024-grade-threshold-table.pdf,9708,november,on,2024
8021_on_2024,https://www.cambridgeinternational.org/Images/727987-english-general-paper-as-level-8021-november-2024-grade-threshold-table.pdf,8021,november,on,2024
9093_on_2024,https://www.cambridgeinternational.org/Images/727988-english-language-a-level-9093-november-2024-grade-threshold-table.pdf,9093,november,on,2024
8291_on_2024,https://www.cambridgeinternational.org/Images/727989-environmental-management-as-level-8291-november-2024-grade-threshold-table.pdf,8291,november,on,2024
8682_on_2024,https://www.cambridgeinternational.org/Images/727992-french-language-as-level-8682-november-2024-grade-threshold-table.pdf,8682,november,on,2024
9231_on_2024,https://www.cambridgeinternational.org/Images/727993-further-mathematics-a-level-9231-november-2024-grade-threshold-table.pdf,9231,november,on,2024
9696_on_2024,https://www.cambridgeinternational.org/Images/727994-geography-9696-november-2024-grade-threshold-table.pdf,9696,november,on,2024
9717_on_2024,https://www.cambridgeinternational.org/Images/727995-german-a-level-9717-november-2024-grade-threshold-table.pdf,9717,november,on,2024
8683_on_2024,https://www.cambridgeinternational.org/Images/727996-german-language-as-level-8683-november-2024-grade-threshold-table.pdf,8683,november,on,2024
9239_on_2024,https://www.cambridgeinternational.org/Images/727997-global-perspectives-research-9239-november-2024-grade-threshold-table.pdf,9239,november,on,2024
9487_on_2024,https://www.cambridgeinternational.org/Images/728001-hinduism-9487-november-2024-grade-threshold-table.pdf,9487,november,on,2024
9489_on_2024,https://www.cambridgeinternational.org/Images/728002-history-9489-november-2024-grade-threshold-table.pdf,9489,november,on,2024
9626_on_2024,https://www.cambridgeinternational.org/Images/728003-information-technology-9626-november-2024-grade-threshold-table.pdf,9626,november,on,2024
9980_on_2024,https://www.cambridgeinternational.org/Images/728004-international-project-a-level-9980-november-2024-grade-threshold-table.pdf,9980,november,on,2024
9488_on_2024,https://www.cambridgeinternational.org/Images/728005-islamic-studies-9488-november-2024-grade-threshold-table.pdf,9488,november,on,2024
8695_on_2024,https://www.cambridgeinternational.org/Images/728007-language-and-literature-in-english-as-level-8695-november-2024-grade-threshold-table.pdf,8695,november,on,2024
9084_on_2024,https://www.cambridgeinternational.org/Images/728008-law-9084-november-2024-grade-threshold-table.pdf,9084,november,on,2024
9695_on_2024,https://www.cambridgeinternational.org/Images/728009-literature-in-english-9695-november-2024-grade-threshold-table.pdf,9695,november,on,2024
9693_on_2024,https://www.cambridgeinternational.org/Images/728010-marine-science-9693-november-2024-grade-threshold-table.pdf,9693,november,on,2024
9709_on_2024,https://www.cambridgeinternational.org/Images/728011-mathematics-9709-november-2024-grade-threshold-table.pdf,9709,november,on,2024
9607_on_2024,https://www.cambridgeinternational.org/Images/728012-media-studies-9607-november-2024-grade-threshold-table.pdf,9607,november,on,2024
9483_on_2024,https://www.cambridgeinternational.org/Images/728013-music-9483-november-2024-grade-threshold-table.pdf,9483,november,on,2024
9702_on_2024,https://www.cambridgeinternational.org/Images/728015-physics-9702-november-2024-grade-threshold-table.pdf,9702,november,on,2024
9990_on_2024,https://www.cambridgeinternational.org/Images/728016-psychology-9990-november-2024-grade-threshold-table.pdf,9990,november,on,2024
9699_on_2024,https://www.cambridgeinternational.org/Images/728017-sociology-9699-november-2024-grade-threshold-table.pdf,9699,november,on,2024
9844_on_2024,https://www.cambridgeinternational.org/Images/728079-spanish-language-and-literature-a-level-9844-november-2024-grade-threshold-table.pdf,9844,november,on,2024
8022_on_2024,https://www.cambridgeinternational.org/Images/728031-spanish-language-as-level-8022-november-2024-grade-threshold-table.pdf,8022,november,on,2024
8386_on_2024,https://www.cambridgeinternational.org/Images/728033-sport-physical-education-as-level-8386-november-2024-grade-threshold-table.pdf,8386,november,on,2024
9689_on_2024,https://www.cambridgeinternational.org/Images/728021-tamil-a-level-9689-november-2024-grade-threshold-table.pdf,9689,november,on,2024
8689_on_2024,https://www.cambridgeinternational.org/Images/728022-tamil-language-as-level-8689-november-2024-grade-threshold-table.pdf,8689,november,on,2024
9694_on_2024,https://www.cambridgeinternational.org/Images/728023-thinking-skills-9694-november-2024-grade-threshold-table.pdf,9694,november,on,2024
9395_on_2024,https://www.cambridgeinternational.org/Images/728024-travel-and-tourism-9395-november-2024-grade-threshold-table.pdf,9395,november,on,2024
9686_on_2024,https://www.cambridgeinternational.org/Images/728026-urdu-a-level-9686-november-2024-grade-threshold-table.pdf,9686,november,on,2024
8686_on_2024,https://www.cambridgeinternational.org/Images/728027-urdu-language-as-level-8686-november-2024-grade-threshold-table.pdf,8686,november,on,2024
9706_mj_2024,https://www.cambridgeinternational.org/Images/715947-accounting-9706-june-2024-grade-threshold-table.pdf,9706,june,mj,2024
9680_mj_2024,https://www.cambridgeinternational.org/Images/716015-arabic-a-level-9680-june-2024-grade-threshold-table.pdf,9680,june,mj,2024
8680_mj_2024,https://www.cambridgeinternational.org/Images/715973-arabic-language-as-level-8680-june-2024-grade-threshold-table.pdf,8680,june,mj,2024
9479_mj_2024,https://www.cambridgeinternational.org/Images/715948-art-design-9479-june-2024-grade-threshold-table.pdf,9479,june,mj,2024
