option,combination of components,a*,a,b,c,d,e,year,month,maximum mark after weighting,a* a,a* a.1
CZ2,"43, 53, 99",199,175.0,151,128,106,84,2025,on,260.0,,
EV,"42, 52, 75",194,174.0,154,131,109,87,2025,on,260.0,,
HC,"14, 24, 38, 44, 54",195,171.0,147,126,105,85,2025,on,260.0,,
HY,"12, 22, 34, 42, 52",194,171.0,148,125,102,80,2025,on,260.0,,
HZ,"13, 23, 36, 43, 53",191,167.0,143,122,102,82,2025,on,260.0,,
S1,"11, 21, 31",–,90.0,79,68,58,48,2025,on,130.0,,
S3,"12, 22, 33",–,89.0,78,67,56,45,2025,on,130.0,,
S4,"12, 22, 34",–,91.0,79,67,56,45,2025,on,130.0,,
S5,"13, 23, 35",–,83.0,73,63,53,43,2025,on,130.0,,
S6,"13, 23, 36",–,82.0,71,61,51,42,2025,on,130.0,,
S7,"14, 24, 37",–,88.0,77,66,55,44,2025,on,130.0,,
S8,"14, 24, 38",–,87.0,75,64,53,43,2025,on,130.0,,
