option,maximum mark after weighting,combination of components,a,b,c,d,e,year,month
SY,160,"04, 12, 22, 32",126,112,96,80,65,2024,mj
SY,160,"04, 12, 22, 32",120,105,91,77,63,2025,mj
SX,160,"04, 11, 21, 31",126,112,96,80,65,2024,on
SY,160,"04, 12, 22, 32",126,112,96,80,65,2024,on
SZ,160,"04, 13, 23, 33",126,112,96,80,65,2024,on
SX,160,"04, 11, 21, 31",125,110,95,80,65,2025,on
SY,160,"04, 12, 22, 32",125,110,95,80,65,2025,on
SZ,160,"04, 13, 23, 33",125,110,95,80,65,2025,on
