option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
AY,200,"22, 32, 42, 52",134,120,106,91,76,61,2022,mj
AY,200,"22, 32, 42, 52",137,124,111,96,81,66,2023,mj
AY,200,"22, 32, 42, 52",136,123,110,95,80,66,2024,mj
AY,200,"22, 32, 42, 52",146,131,116,101,86,72,2025,mj
AX,200,"21, 31, 41, 51",129,115,101,85,70,55,2022,on
AY,200,"22, 32, 42, 52",129,115,101,85,70,55,2022,on
AX,200,"21, 31, 41, 51",142,127,112,96,80,65,2023,on
AY,200,"22, 32, 42, 52",142,127,112,96,80,65,2023,on
AY,200,"22, 32, 42, 52",136,123,110,95,80,66,2024,on
AY,200,"22, 32, 42, 52",137,124,111,96,81,67,2025,on
