option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
A,200,"02, 03, 04, 05",175,158,141,125,109,94,2024,mj
(A1),200,"02, 03, 04, 05",173,156,139,123,107,91,2022,on
(A2),110,"02, 03",–,80,69,59,50,41,2022,on
A,200,"02, 03, 04, 05",178,161,144,128,112,96,2023,on
