option,combination of components,a*,a,b,c,d,e,year,month,maximum mark after weighting
AC,"14, 24, 37, 44, 54",202,177,152,126,100,74,2025,mj,260.0
AX,"11, 21, 31, 41, 51",201,177,153,128,103,79,2025,mj,260.0
AY,"12, 22, 33, 42, 52",203,178,153,128,103,78,2025,mj,260.0
2W,"12, 22, 33, 41, 52",209,182,155,128,102,76,2025,mj,260.0
AZ,"13, 23, 35, 43, 53",205,178,151,125,99,74,2025,mj,260.0
BN1,"44, 54, 85",209,184,159,131,103,75,2025,mj,260.0
BN2,"44, 54, 88",210,185,160,132,104,77,2025,mj,260.0
BX1,"41, 51, 84",204,179,154,128,103,78,2025,mj,260.0
BX2,"41, 51, 87",203,180,157,131,106,81,2025,mj,260.0
BY1,"42, 52, 85",206,180,154,128,102,77,2025,mj,260.0
BY2,"42, 52, 88",207,181,155,129,104,79,2025,mj,260.0
5W1,"41, 52, 85",212,184,156,129,102,75,2025,mj,260.0
5W2,"41, 52, 88",213,185,157,130,103,77,2025,mj,260.0
BZ1,"43, 53, 86",208,181,154,128,103,78,2025,mj,260.0
CN1,"44, 54, 96",210,184,158,131,104,77,2025,mj,260.0
CN2,"44, 54, 99",210,184,158,131,105,79,2025,mj,260.0
CP1,"43, 53, 94",209,180,151,126,102,78,2025,mj,260.0
CQ1,"41, 51, 95",209,180,151,126,101,76,2025,mj,260.0
CQ2,"41, 51, 98",208,180,152,127,102,78,2025,mj,260.0
CR1,"42, 52, 96",207,180,153,128,103,79,2025,mj,260.0
CR2,"42, 52, 99",207,180,153,129,105,81,2025,mj,260.0
WC1,"41, 52, 96",213,184,155,129,103,77,2025,mj,260.0
WC2,"41, 52, 99",213,184,155,129,104,79,2025,mj,260.0
CX1,"41, 51, 94",209,180,151,126,102,78,2025,mj,260.0
CY1,"42, 52, 95",205,178,151,127,103,80,2025,mj,260.0
CY2,"42, 52, 98",204,178,152,128,105,82,2025,mj,260.0
HC,"14, 24, 38, 44, 54",202,176,150,124,98,73,2025,mj,260.0
HX,"11, 21, 32, 41, 51",203,177,151,126,102,78,2025,mj,260.0
HY,"12, 22, 34, 42, 52",203,177,151,126,101,77,2025,mj,260.0
7W,"12, 22, 34, 41, 52",209,181,153,127,101,75,2025,mj,260.0
P1,50,–,59,53,44,35,27,2025,mj,75.0
S1,"11, 21, 31",–,94,85,73,62,51,2025,mj,130.0
S2,"11, 21, 32",–,94,83,72,61,50,2025,mj,130.0
S3,"12, 22, 33",–,97,85,72,59,46,2025,mj,130.0
S4,"12, 22, 34",–,96,83,70,57,45,2025,mj,130.0
S5,"13, 23, 35",–,95,83,70,58,46,2025,mj,130.0
SA,"14, 24, 37",–,92,79,67,55,44,2025,mj,130.0
SB,"14, 24, 38",–,91,77,65,54,43,2025,mj,130.0
AZ,"13, 23, 35, 43, 53",188,164,140,115,91,67,2022,on,260.0
BS1,"41, 51, 86",194,167,140,113,86,60,2022,on,260.0
BT1,"42, 52, 84",197,171,145,118,92,66,2022,on,260.0
BT2,"42, 52, 87",197,171,145,118,92,66,2022,on,260.0
BU1,"43, 53, 85",193,167,141,113,85,58,2022,on,260.0
BU2,"43, 53, 88",193,167,141,113,86,59,2022,on,260.0
BX1,"41, 51, 84",194,168,142,115,89,63,2022,on,260.0
BY1,"42, 52, 85",196,170,144,116,88,61,2022,on,260.0
BY2,"42, 52, 88",196,170,144,116,89,62,2022,on,260.0
BYJ,"42, 52",91,78,65,49,33,17,2022,on,130.0
BZ1,"43, 53, 86",194,167,140,113,86,60,2022,on,260.0
CY1,"42, 52, 95",190,165,140,114,88,63,2022,on,260.0
CY2,"42, 52, 98",188,163,138,112,86,61,2022,on,260.0
CYN,"42, 52",91,78,65,49,33,17,2022,on,130.0
CZ1,"43, 53, 96",192,166,140,113,87,61,2022,on,260.0
CZ2,"43, 53, 99",189,164,139,112,85,59,2022,on,260.0
CZN,"43, 53",88,75,62,46,30,14,2022,on,130.0
EV,"42, 52, 75",197,172,147,119,92,65,2022,on,260.0
HY,"12, 22, 34, 42, 52",190,166,142,116,90,64,2022,on,260.0
HZ,"13, 23, 36, 43, 53",186,162,138,114,90,66,2022,on,260.0
P1,50,–,55,47,38,29,20,2022,on,75.0
S1,"11, 21, 31",–,84,72,59,46,34,2022,on,130.0
S3,"12, 22, 33",–,82,69,57,45,33,2022,on,130.0
S4,"12, 22, 34",–,84,72,59,47,35,2022,on,130.0
S5,"13, 23, 35",–,85,73,62,51,41,2022,on,130.0
S6,"13, 23, 36",–,83,71,60,50,40,2022,on,130.0
BT1,"42, 52, 84",205,183,161,135,109,84,2023,on,260.0
BT2,"42, 52, 87",204,184,164,138,112,86,2023,on,260.0
BU1,"43, 53, 85",216,193,170,144,118,93,2023,on,260.0
BU2,"43, 53, 88",214,192,170,144,119,94,2023,on,260.0
BX2,"41, 51, 87",204,184,164,138,112,86,2023,on,260.0
BY1,"42, 52, 85",211,188,165,137,109,81,2023,on,260.0
BY2,"42, 52, 88",209,187,165,137,109,82,2023,on,260.0
BZ1,"43, 53, 86",211,189,167,143,119,95,2023,on,260.0
CY1,"42, 52, 95",196,173,150,123,96,70,2023,on,260.0
CY2,"42, 52, 98",197,175,153,126,99,72,2023,on,260.0
CZ1,"43, 53, 96",203,181,159,136,113,90,2023,on,260.0
CZ2,"43, 53, 99",201,179,157,134,111,89,2023,on,260.0
EV,"42, 52, 75",204,183,162,135,108,82,2023,on,260.0
HY,"12, 22, 34, 42, 52",209,185,161,134,107,80,2023,on,260.0
HZ,"13, 23, 36, 43, 53",219,195,171,146,121,96,2023,on,260.0
P1,50,–,59,53,44,36,28,2023,on,75.0
S1,"11, 21, 31",–,97,83,70,57,44,2023,on,130.0
S3,"12, 22, 33",–,95,81,68,55,43,2023,on,130.0
S4,"12, 22, 34",–,94,80,67,55,43,2023,on,130.0
S5,"13, 23, 35",–,99,84,71,58,46,2023,on,130.0
S6,"13, 23, 36",–,99,85,72,59,47,2023,on,130.0
BT2,"42, 52, 87",209,191,173,145,117,89,2024,on,260.0
BU1,"43, 53, 85",212,190,168,139,110,81,2024,on,260.0
BU2,"43, 53, 88",213,191,169,140,111,83,2024,on,260.0
BY1,"42, 52, 85",216,193,170,140,110,81,2024,on,260.0
BY2,"42, 52, 88",217,194,171,141,112,83,2024,on,260.0
BZ1,"43, 53, 86",210,189,168,140,113,86,2024,on,260.0
CX1,"41, 51, 94",211,188,165,136,108,80,2024,on,260.0
CY1,"42, 52, 95",213,189,165,136,107,79,2024,on,260.0
CY2,"42, 52, 98",212,188,164,135,107,79,2024,on,260.0
CZ1,"43, 53, 96",214,190,166,138,110,82,2024,on,260.0
CZ2,"43, 53, 99",213,190,167,139,111,83,2024,on,260.0
EV,"42, 52, 75",216,197,178,150,122,95,2024,on,260.0
HY,"12, 22, 34, 42, 52",214,191,168,140,113,86,2024,on,260.0
HZ,"13, 23, 36, 43, 53",213,190,167,139,112,85,2024,on,260.0
S1,"11, 21, 31",–,97,83,72,61,50,2024,on,130.0
S3,"12, 22, 33",–,97,83,71,59,48,2024,on,130.0
S4,"12, 22, 34",–,97,84,72,61,50,2024,on,130.0
S5,"13, 23, 35",–,99,85,72,59,47,2024,on,130.0
S6,"13, 23, 36",–,99,85,73,61,49,2024,on,130.0
AC,"14, 24, 37, 44, 54",214,190,166,138,110,83,2025,on,260.0
AX,"11, 21, 31, 41, 51",207,185,163,136,110,84,2025,on,260.0
AY,"12, 22, 33, 42, 52",201,177,153,127,101,75,2025,on,260.0
AZ,"13, 23, 35, 43, 53",207,184,161,134,108,82,2025,on,260.0
BC1,"44, 54, 62",206,182,158,131,104,77,2025,on,260.0
BC2,"44, 54, 63",206,181,156,129,102,76,2025,on,260.0
BT1,"42, 52, 84",194,173,152,127,103,79,2025,on,260.0
BT2,"42, 52, 87",196,173,150,126,102,78,2025,on,260.0
BU1,"43, 53, 85",207,185,163,135,108,81,2025,on,260.0
BU2,"43, 53, 88",207,184,161,134,107,80,2025,on,260.0
BX1,"41, 51, 84",201,182,163,137,111,86,2025,on,260.0
BX2,"41, 51, 87",203,182,161,135,110,85,2025,on,260.0
BY1,"42, 52, 85",200,176,152,126,100,74,2025,on,260.0
BY2,"42, 52, 88",200,175,150,124,98,73,2025,on,260.0
BZ1,"43, 53, 86",205,183,161,134,107,81,2025,on,260.0
CN1,"44, 54, 96",214,189,164,136,108,80,2025,on,260.0
CN2,"44, 54, 99",214,189,164,136,109,82,2025,on,260.0
CX1,"41, 51, 94",209,185,161,135,110,85,2025,on,260.0
CY1,"42, 52, 95",202,176,150,125,100,76,2025,on,260.0
CY2,"42, 52, 98",201,176,151,126,102,78,2025,on,260.0
CZ1,"43, 53, 96",211,187,163,136,109,82,2025,on,260.0
CZ2,"43, 53, 99",211,187,163,136,110,84,2025,on,260.0
EV,"42, 52, 75",199,178,157,132,107,82,2025,on,260.0
HC,"14, 24, 38, 44, 54",214,190,166,138,110,83,2025,on,260.0
HY,"12, 22, 34, 42, 52",201,177,153,127,102,77,2025,on,260.0
HZ,"13, 23, 36, 43, 53",207,184,161,134,108,82,2025,on,260.0
S1,"11, 21, 31",–,97,85,73,61,49,2025,on,130.0
S3,"12, 22, 33",–,98,86,73,60,47,2025,on,130.0
S4,"12, 22, 34",–,98,86,73,61,49,2025,on,130.0
S5,"13, 23, 35",–,96,83,71,59,47,2025,on,130.0
S6,"13, 23, 36",–,96,83,71,59,47,2025,on,130.0
SA,"14, 24, 37",–,100,87,74,62,50,2025,on,130.0
SB,"14, 24, 38",–,100,87,74,62,50,2025,on,130.0
