option,combination of components,a*,a,b,c,d,e,year,month,maximum mark after weighting
AY (AY1),"12, 22, 33, 42, 52",191,167,143,115,88,61,2022,fm,
AY (AY2),"12, 22, 33",–,90,77,63,49,36,2022,fm,
BY (BY1),"42, 52, 85",194,169,144,117,90,63,2022,fm,
BY (BY2),"42, 52, 88",189,165,141,113,86,59,2022,fm,
BY (BYJ),"42, 52",85,73,61,45,29,13,2022,fm,
CY (CY1),"42, 52, 95",184,160,136,110,84,59,2022,fm,
CY (CY2),"42, 52, 98",182,158,134,108,82,57,2022,fm,
CY (CYN),"42, 52",85,73,61,45,29,13,2022,fm,
DV (DV1),"12, 22, 33, 42, 52",191,167,143,115,88,61,2022,fm,
DV (DV2),"42, 52, 75",187,165,143,118,93,68,2022,fm,
DV (DV3),"42, 52, 85",194,169,144,117,90,63,2022,fm,
DV (DV4),"42, 52, 88",189,165,141,113,86,59,2022,fm,
DV (DV5),"42, 52, 95",184,160,136,110,84,59,2022,fm,
DV (DV6),"42, 52, 98",182,158,134,108,82,57,2022,fm,
DV (DV7),"12, 22, 33",–,90,77,63,49,36,2022,fm,
DV (DVJ),"42, 52",85,73,61,45,29,13,2022,fm,
DV (DVN),"42, 52",85,73,61,45,29,13,2022,fm,
EV,"42, 52, 75",187,165,143,118,93,68,2022,fm,
S3,"12, 22, 33",–,90,77,63,49,36,2022,fm,
AY,"12, 22, 33, 42, 52",197,174,151,126,101,77,2023,fm,260.0
BT1,"42, 52, 84",197,171,145,119,94,69,2023,fm,260.0
BY1,"42, 52, 85",196,170,144,117,90,64,2023,fm,260.0
BY2,"42, 52, 88",196,170,144,117,91,65,2023,fm,260.0
CY1,"42, 52, 95",189,164,139,114,89,65,2023,fm,260.0
CY2,"42, 52, 98",190,166,142,117,92,67,2023,fm,260.0
EV,"42, 52, 75",197,172,147,120,94,68,2023,fm,260.0
EVM,"42, 52",91,78,65,50,35,21,2023,fm,130.0
S3,"12, 22, 33",–,92,81,69,57,45,2023,fm,130.0
AY,"12, 22, 33, 42, 52",208,187,166,141,116,92,2024,fm,260.0
BT2,"42, 52, 87",199,177,155,130,106,82,2024,fm,260.0
BY1,"42, 52, 85",206,181,156,129,103,77,2024,fm,260.0
BY2,"42, 52, 88",204,180,156,130,104,78,2024,fm,260.0
CY1,"42, 52, 95",205,179,153,127,101,76,2024,fm,260.0
CY2,"42, 52, 98",204,178,152,126,101,76,2024,fm,260.0
EV,"42, 52, 75",199,176,153,128,103,78,2024,fm,260.0
S3,"12, 22, 33",–,103,94,82,70,59,2024,fm,130.0
AY,"12, 22, 33, 42, 52",208,186,164,138,112,87,2025,fm,260.0
BY1,"42, 52, 85",212,186,160,132,105,78,2025,fm,260.0
BY2,"42, 52, 88",213,187,161,134,107,80,2025,fm,260.0
CY1,"42, 52, 95",211,184,157,131,106,81,2025,fm,260.0
CY2,"42, 52, 98",210,184,158,133,108,83,2025,fm,260.0
EV,"42, 52, 75",212,190,168,142,117,92,2025,fm,260.0
S3,"12, 22, 33",–,99,90,78,66,54,2025,fm,130.0
BX1,"41, 51, 84",186,165,144,119,94,70,2022,mj,260.0
BX2,"41, 51, 87",185,164,143,118,94,70,2022,mj,260.0
BXJ,"41, 51",85,74,63,47,32,17,2022,mj,130.0
BY1,"42, 52, 85",191,166,141,113,86,59,2022,mj,260.0
BY2,"42, 52, 88",186,162,138,110,82,55,2022,mj,260.0
BYJ,"42, 52",82,70,58,43,28,13,2022,mj,130.0
BZ1,"43, 53, 86",198,173,148,121,95,69,2022,mj,260.0
CP1,"43, 53, 94",185,162,139,113,88,63,2022,mj,260.0
CQ1,"41, 51, 95",184,161,138,112,87,62,2022,mj,260.0
CQ2,"41, 51, 98",182,159,136,110,85,60,2022,mj,260.0
CQN,"41, 51",85,74,63,47,32,17,2022,mj,130.0
CR1,"42, 52, 96",186,161,136,109,82,56,2022,mj,260.0
CR2,"42, 52, 99",183,159,135,108,81,54,2022,mj,260.0
CRN,"42, 52",82,70,58,43,28,13,2022,mj,130.0
CX1,"41, 51, 94",185,162,139,113,88,63,2022,mj,260.0
CY1,"42, 52, 95",181,157,133,107,81,55,2022,mj,260.0
CY2,"42, 52, 98",179,155,131,105,79,53,2022,mj,260.0
CYN,"42, 52",82,70,58,43,28,13,2022,mj,130.0
HX,"11, 21, 32, 41, 51",191,167,143,117,91,65,2022,mj,260.0
HY,"12, 22, 34, 42, 52",187,162,137,109,81,54,2022,mj,260.0
P1,50,–,55,47,38,29,20,2022,mj,75.0
P2,"50, 60",126,109,92,74,56,38,2022,mj,150.0
P3,"60, 80",130,114,98,81,64,48,2022,mj,150.0
S1,"11, 21, 31",–,89,75,62,49,37,2022,mj,130.0
S2,"11, 21, 32",–,89,75,62,49,37,2022,mj,130.0
S3,"12, 22, 33",–,88,74,60,46,32,2022,mj,130.0
S4,"12, 22, 34",–,88,74,60,46,33,2022,mj,130.0
S5,"13, 23, 35",–,88,73,60,47,34,2022,mj,130.0
AX,"11, 21, 31, 41, 51",205,177,149,124,99,75,2023,mj,260.0
AY,"12, 22, 33, 42, 52",209,180,151,124,97,71,2023,mj,260.0
AZ,"13, 23, 35, 43, 53",206,178,150,124,99,74,2023,mj,260.0
BX1,"41, 51, 84",204,174,144,117,91,65,2023,mj,260.0
BX2,"41, 51, 87",204,174,144,117,91,65,2023,mj,260.0
BY1,"42, 52, 85",201,171,141,113,86,59,2023,mj,260.0
BY2,"42, 52, 88",201,171,141,114,87,60,2023,mj,260.0
BZ1,"43, 53, 86",204,173,142,115,88,62,2023,mj,260.0
CP1,"43, 53, 94",197,169,141,114,88,62,2023,mj,260.0
CQ1,"41, 51, 95",196,167,138,112,86,61,2023,mj,260.0
CQ2,"41, 51, 98",197,169,141,115,89,63,2023,mj,260.0
CR1,"42, 52, 96",196,168,140,116,92,68,2023,mj,260.0
CR2,"42, 52, 99",194,166,138,114,90,67,2023,mj,260.0
CX1,"41, 51, 94",197,169,141,114,88,62,2023,mj,260.0
CY1,"42, 52, 95",194,165,136,110,85,60,2023,mj,260.0
CY2,"42, 52, 98",195,167,139,113,87,62,2023,mj,260.0
HX,"11, 21, 32, 41, 51",204,178,152,127,102,77,2023,mj,260.0
HY,"12, 22, 34, 42, 52",207,179,151,124,98,72,2023,mj,260.0
P1,50,–,60,51,43,35,27,2023,mj,75.0
P3,"60, 80",130,116,102,86,71,56,2023,mj,150.0
S1,"11, 21, 31",–,92,80,69,58,47,2023,mj,130.0
S2,"11, 21, 32",–,93,83,71,60,49,2023,mj,130.0
S3,"12, 22, 33",–,97,84,70,57,44,2023,mj,130.0
S4,"12, 22, 34",–,96,84,71,58,45,2023,mj,130.0
S5,"13, 23, 35",–,93,81,69,57,46,2023,mj,130.0
BX1,"41, 51, 84",199,172,145,121,97,73,2024,mj,260.0
BX2,"41, 51, 87",198,173,148,123,99,75,2024,mj,260.0
BY1,"42, 52, 85",210,181,152,125,98,71,2024,mj,260.0
BY2,"42, 52, 88",208,180,152,125,98,72,2024,mj,260.0
BZ1,"43, 53, 86",200,173,146,121,96,72,2024,mj,260.0
CP1,"43, 53, 94",206,177,148,122,96,70,2024,mj,260.0
CQ1,"41, 51, 95",204,175,146,120,94,69,2024,mj,260.0
CQ2,"41, 51, 98",203,174,145,119,94,69,2024,mj,260.0
CR1,"42, 52, 96",214,183,152,125,99,73,2024,mj,260.0
CR2,"42, 52, 99",213,183,153,126,100,74,2024,mj,260.0
CX1,"41, 51, 94",206,177,148,122,96,70,2024,mj,260.0
CY1,"42, 52, 95",209,179,149,122,96,70,2024,mj,260.0
CY2,"42, 52, 98",208,178,148,122,96,70,2024,mj,260.0
HX,"11, 21, 32, 41, 51",200,177,154,129,104,79,2024,mj,260.0
HY,"12, 22, 34, 42, 52",213,184,155,128,101,74,2024,mj,260.0
S1,"11, 21, 31",–,96,86,74,62,50,2024,mj,130.0
S2,"11, 21, 32",–,97,89,77,65,53,2024,mj,130.0
S3,"12, 22, 33",–,99,86,72,58,45,2024,mj,130.0
S4,"12, 22, 34",–,100,87,73,60,47,2024,mj,130.0
S5,"13, 23, 35",–,98,86,74,62,50,2024,mj,130.0
