option,maximum mark after weighting,combination of components,a,b,c,d,e,year,month
P1,75,50,36,29,22,15,8,2022,mj
Y,100,"22, 32",60,51,42,34,26,2022,mj
Y,100,"22, 32",63,54,45,37,29,2023,mj
X,100,"21, 31",57,48,40,32,25,2022,on
Y,100,"22, 32",57,48,40,32,25,2022,on
Z,100,"23, 33",60,51,43,35,28,2022,on
X,100,"21, 31",60,51,43,35,28,2023,on
Y,100,"22, 32",60,51,43,35,28,2023,on
Z,100,"23, 33",60,51,43,35,28,2023,on
