option,maximum mark after weighting,combination of components,a,b,c,d,e,year,month
SA,100,"02, 03",58,48,39,30,22,2022,on
SB,100,"01, 02, 03",58,48,39,30,22,2022,on
SA,100,"02, 03",63,54,45,36,28,2023,on
SB,100,"01, 02, 03",63,54,45,36,28,2023,on
SA,100,"02, 03",56,47,38,29,21,2024,on
SB,100,"01, 02, 03",56,47,38,29,21,2024,on
SA,100,"02, 03",63,54,45,37,29,2025,on
SB,100,"01, 02, 03",63,54,45,37,29,2025,on
