option,maximum mark after weighting,combination of components,a,b,c,d,e,year,month
X,150,"21, 41",101,91,79,67,56,2022,mj
X,150,"21, 41",107,97,86,75,64,2023,mj
X,150,"21, 41",101,92,80,68,57,2022,on
Y,150,"22, 42",101,92,80,68,57,2022,on
X,150,"21, 41",102,93,82,72,62,2023,on
